,context,question,answerA,answerB,answerC,correct
5019,Addison brushed her teeth and flossed before bed after seeing the dentist that morning.,How would Addison feel afterwards?,forgetful and distracted,inspired to clean her teeth,dirty and disheveled,B
5020,Sydney kept an eye on the tools in the hands and thought only of those.,How would Sydney feel afterwards?,useful,aggressive,religious,A
5021,Riley saw monkeys at the zoo and they were playing on the bars.,How would Riley feel afterwards?,tired,happiness,bored,B
5022,It was their anniversary and Sydney surprised their husband.,What does Sydney need to do before this?,SHe wanted to make him happy,plan the surprise,she wanted her husband to smile,B
5023,Lee called a spade a spade and never lied to people.,How would you describe Lee?,sneaky,forthright,dishonest,B
5024,Lee kept everything under control when things got busy at work.,How would you describe Lee?,As someone who works at their job,confident,As someone with a good temperament,B
5025,Cameron was pretty bad at basketball and his friends asked him to play with them.,What will Cameron want to do next?,join a basketball tournament,give his friends a baseball,practice shooting baskets,C
5026,"Jesse was heading out and wanted to let her roommates know, so Jesse wrote a note on the board in the kitchen.",What will Jesse want to do next?,leave the kitchen for a week,stay home for the evening,go out for the evening,C
5027,"Lee made Carson their wife, file for divorce the very next day.",What will Lee want to do next?,take his belongings,get a divorce,want his wife,A
5028,Nova was applying to nursing school and asked Lee for a recommendation letter.,What did Nova need to do before this?,do good work for Lee to impress them,pleased at being asked,finish going to medical school,A
5029,Addison knew Quinn had contributed to the project and got him in on Kai's trademark application.,As a result how would Quinn feel?,thankful,unprotected,a good planner,A
5030,"Ash laid down next to her dog Jesse as the veterinarian said ""ready?"".",What does Ash need to do before this?,look for a cat instead,tell Jesse he had been a good dog,ignore Jesse's suffering,B
5031,Jan rested her head against Kendall's forehead while they were on the bed.,Why did Jan do this?,get her oils on Kendall's face,show affection,be weird,B
5032,Remy passed the other car quickly as she was in a hurry to get home and the car was going really slow.,How would Remy feel afterwards?,friendly the other driver,annoyed at the other driver,proud of the other driver,B
5033,Jordan returned home from work after they had a very stressful and long day.,What will Jordan want to do next?,go for a jog,better,lay down and relax,C
5034,"Quinn heard Remy's father's speech, and Quinn´s eyes were full of tires.",How would Quinn feel afterwards?,a need of kissing Remy´s father,in love with the speech,a need to hug in the middle of the speech,B
5035,Bailey had just moved to a new school and didn't have any friends yet.,How would Austin feel afterwards?,grateful,excluded,lonely,C
5036,Tracy let Alex go first when they arrived at the roller coaster park.,How would Tracy feel afterwards?,"considerate, so they let Alex get in line first","patient, so they let Alex get in line first",giving,A
5037,Casey wore men's underwear to the drag festival that night.,What does Casey need to do before this?,do nothing,Stay at home,find men's underwear,C
5038,Jesse was glad that he had finished for the day.,What does Jesse need to do next?,finish later,take a break,Leave work,B
5039,Brooklyn was applying to nursing school and asked Lee for a recommendation letter.,What did Brooklyn need to do before this?,as jealous,as envious,finish the nursing prerequisites,C
5040,Ash held back his hair and supported him as he vomited from the flu.,How would you describe Ash?,caring,worried about their friend,concerned about catching the flu,A
5041,Carson immediately picked it up and went with the process in an effective manner.,How would you describe Carson?,very professional,determined,incompetent,A
5042,Taylor is a psychiatrist in a big hospital.,How would Taylor feel afterwards?,envious of Taylor,hostile,gratified,C
5043,Austin drove home at night after working all day.,Why did Austin do this?,wanted to be lazy,wanted to go home,relax on the couch,B
5044,"By having three jobs, as a chef, salesperson, and carpenter, Carson wore too many hats.",What does Carson need to do before this?,apply for three chef jobs,get three different carpentry jobs,apply for three different jobs,C
5045,Addison maximized Bailey's total profits by cutting waste and reducing labor costs.,What will happen to Addison?,smart,become richer,be hired on by Bailey,C
5046,Jesse read Jordan a story because he wouldn't go to sleep when it was close to midnight.,What will Jesse want to do after?,get out of Jordan's room,go to the beach,buy more books,A
5047,Carson played cards with friends instead of doing his homework which upset his parents.,What will happen to Carson?,be shouted at,get grounded,get more allowance,B
5048,Remy got pretty good at lying after lying for his entire life.,What does Remy need to do before this?,not lie,keep telling untruths,lie much,B
5049,Taylor got her new tv working.,What does Taylor need to do before this?,get her TV delivered,brag to friends,get her TV dinner delivered,A
5050,Robin noticed homeless people standing on the sidewalk so Robin gave them money.,How would Robin feel afterwards?,angry with herself,ashamed of herself,proud of herself,C
5051,Taylor told my friends about the new business I was planning on starting up.,How would Taylor feel afterwards?,very upset with themselves,like they are helpful,like they did something wrong,B
5052,Riley too clothes to the shelter and donated money as well.,What will Others want to do next?,refuse the donation,recognize his generosity,deduct the donation from their taxes,B
5053,Austin went to the office to meet their client that needed help.,What will Others want to do next?,be rude,be mean,get help,C
5054,Kendall hired Skylar to work for them as their personal assistant and was very pleasd with their work as Skylar complied with Kendall's request for anything that Kendall needed.,What will Kendall do with Skylar next?,give Skylar more jobs to complete,give Skylar a pay cut,give Skylar nothing to do,A
5055,Tracy blazed down the trail on her new bike for the first time.,How would you describe Tracy?,excited,very brave,very slow,B
5056,Skylar was at the store with their mom when he finally found what he wanted.,What will Skylar want to do next?,think about what they wanted,purchase the item,get the item,B
5057,Sydney asked if she could come along on the boat ride.,How would Others feel as a result?,like Sydney should drive the boat,like the trip will be no fun,like they need to make more room,C
5058,Riley was riding Sasha'a bike around the street then suddenly Riley fell off Sasha's bike.,What does Riley need to do before this?,learn how to drive a car,not ask permission to ride Sasha's bike,learn how to ride a bike,C
5059,Jesse told Cameron to relax so they could have fun watching their movie.,What will Cameron want to do next?,watch the movie,have fun,put on a show,A
5060,Addison was a barista at a local coffee shop. She changed jobs without notice.,How would Addison feel afterwards?,thankful to be working for the coffee shop,happy to keep the same job,guilty that she hadn't given notice,C
5061,It was Kai's favorite song and they liked every time they heard it play.,How would you describe Kai?,excited afterwards,pleased afterwards,As someone who likes the song,C
5062,Jordan held up his end of the bargain after an agreement was struck.,How would you describe Jordan?,hardworking,happy that all parties had reached an agreement,a cheat,A
5063,Tracy knew nothing about math and realized she was going to need help.,What will Tracy want to do next?,as a friend,go at it alone,find out that they were bad at math,A
5064,"Alex walked into a church and started shooting at people, claiming to be administering the lord's wrath.",What will Others want to do next?,run from the police,evade the police,run and hid,C
5065,Taylor gave Carson a treat. Taylor had a stash of Japanese candy.,How would Taylor feel afterwards?,a candy hog,like a good person,like a bad person,B
5066,Kai finally made a touchdown after attempting to many times.,How would you describe Kai?,committed,proud afterwards,unable,A
5067,Sydney was never able to make friends. Sydney moved around a lot.,How would Sydney feel afterwards?,a loner,like trying to make friends,an introvert,A
5068,Robin performed their duties at work before the end of the shift.,What will Robin want to do next?,work hard,leave work,go to work,B
5069,Addison made coffee for the group and discussed the plan.,What will Addison want to do next?,conflicted,get people up to date,smart,B
5070,Ash was driving through the desert and saw the first gas station for 50 miles. Ash put some fuel in the car.,Why did Ash do this?,make sure she didn't run out of gas,put the key in the ignition and drive off,get back in the car,A
5071,Quinn attended their business meeting that was at the Chinese buffet restaurant.,How would Quinn feel afterwards?,felt very satisfied with the food from the meeting,was starving after the meeting was over,as normal,A
5072,Ash pushed the boy into the pool for what he thought was a harmless practical joke.,What will Ash want to do next?,laugh at the boy,murder the boy,try to swim,A
5073,Kai saw trust in Remy's eyes so he kept her secret as he promised he would.,Why did Kai do this?,honor the trust,smart,loved,A
5074,Ash ensured their safety after the children were lost by the side of the road.,How would you describe Ash?,responsible,relieved that he helped,callous,A
5075,"After Bailey had sex with her husband and farted in her face, Jan decided to give Bailey another shot.",What did Jan forgive Bailey for?,forgave Bailey for farting on her husband,forgave Bailey for farting in her face,forgave Bailey for having sex with her fart,B
5076,Sasha paid all of their bills while working two jobs.,What does Sasha need to do before this?,stop working til later,check her account,have good credit,B
5077,Riley caught the bus after the rain started and she had no umbrella.,What does Riley need to do before catching the bus?,park her car,get a job driving,need a ride somewhere,C
5078,Jordan pieced the fragments together and fixed the broken glass.,What does Jordan need to do before this?,go outside before this,have a party before this,gather the pieces before this,C
5079,Cameron filled their face with Botox and it turns out the procedure went haywire.,How would Cameron feel afterwards?,worried,upset,excited,B
5080,Sasha worked for an hour extra after a long and hard day at work.,How would Sasha feel afterwards?,tired,as ambitious,happy,A
5081,Remy had been broke for quite some time but she ended up finding money in the sector.,How would Remy feel afterwards?,Lucky,Sad,resourceful,A
5082,Taylor was a GP in a small village and knew everyone well so went a patient came in looking very sad Taylor knew they needed to improve the patient's mood.,What does Taylor need to do before this?,ignored the patient,spent no time with the patient,met with the patient,C
5083,Quinn saw there was a chipmunk on the sidewalk.,Why did Quinn do this?,be loud so the chipmunk would run,be quiet so the chipmunk wouldn't run,have Ash see the squirrel,C
5084,"Jordan wanted to lose some weight, so he decided to eat healthy.",What will Jordan want to do next?,be lazy,shop for healthy food,shop for junk food,B
5085,Casey knew that the engine needed to warm up for a while before it would start.,What does Casey need to do before this?,needed to curse at the car,needed to park the car in the garage,warm up the engine,C
5086,"After deciding to go out for a date, Ash walked with his girlfriend in hand.",What will Ash want to do next?,leave his girlfriend at the bar,go to the club with his girlfriend,drop off his girlfriend,B
5087,Remy is about to start work writing a new pilot for a television show but first produced presentation to improve Casey's impression.,What will Remy want to do next?,begin production on a movie,begin work on a new pilot,begin writing a new song,B
5088,"While trying to get the snack out of the vending machine, Riley pushed Casey's fingers into the opening.",What will happen to Riley?,get hurt,get the snack out of the vending machine,shout at Riley,B
5089,Jordan's father bought him the sports car he always dreamed of. Jordan cherished the moment forever.,What did Jordan feel afterwards?,be upset with his dad,never drive the car,take the car for a drive,C
5090,Sydney has a woodworking shop in their home.,What will Sydney want to do next?,has a small business,likes to work on wood,carve a bear,C
5091,Sasha downloaded the dating app on their phone and began to use it.,Why did Sasha do this?,wanted to meet up with new partners,have a smart phone,wanted to meet up with their acquaintances,A
5092,Addison broke every rule in the game's rule book without realizing they were cheating.,What will Addison want to do next?,wanted to be the best,apologize to the other players,keep cheating now that they know,B
5093,"To optimize her results for purchasing the car, Aubrey stated the deal using different terms.",How would Aubrey feel afterwards?,she gave herself the best chance possible,that getting a van was the right choice,That she didnt do enough to prepare,A
5094,Aubrey asked Tracy a question about what would be on the upcoming test.,What will happen to Aubrey?,get information,be harassed,on the test,A
5095,Cameron followed the detailed instruction and put the bookshelf together correctly.,How would Cameron feel afterwards?,inferior and unable,accomplished and skilled,lazy and incapable,B
5096,"Bailey failed her test the first time around, but their teacher Jan gave them another chance.",What does Jan need to do before this?,grade Bailey's test,print another test,ask their teacher for help,B
5097,Riley distributed the silverware evenly throughout the company warehouse.,How would you describe Riley?,awesome,great,disciplined,C
5098,Shasha knew based her experiences that she would have to protect everyone from here on out.,How would you describe Sasha?,brave,inexperienced,unwilling,A
5099,Quinn had people who wanted to buy things from his store and he attended to their business.,How would Quinn feel afterwards?,helpful,Glad to figure the people out,Good for helping his customers,A
5100,Quinn stuck his head in the sand because the situation was getting out of hand that day.,How would you describe Quinn?,feeling scared,feeling bored,overwhelmed,C
5101,Jordan helped Riley find her way back to the start.,What will Jordan want to do next?,smart,good with directions,go home.q,C
5102,"As the women continued discussing where to put the tree, Cameron put the tree down.",Why did Cameron do this?,bring the tree to the women and put it in place,rest his arms until he knew where to put the tree,set down the tree in the place the women designated,B
5103,Cameron was giving Robin and other students a test. Robin took Cameron's examination.,How would Robin feel afterwards?,like they did something,like they were sleeping,disappointed in Robin,A
5104,"Ash' mom moved across the country, but Ash called her often.",What will Ash want to do next?,Keep in contact,Stop calling her mother,Send lots of letters,A
5105,Tracy found fresh fruit and vegetables at the market which she used to pack her weekly lunches.,Why did Tracy do this?,incorporate fruit into her lunches,Others wanted to go to the market,find fresh meat,A
5106,Alex put Tracy to bed and then left for good.,What will happen to Tracy?,watch some TV before sleeping,get ready for bed,be alone,C
5107,Sasha loved to sing classical music. Sasha's friend informed them of a job opportunity for a classical music singer.,What will Sasha want to do next?,thank their friend for the tip about the job,practice singing,play classical music on the piano,A
5108,Alex made Remy call his mother come and pick them up at the park.,What will Remy want to do next?,were ready to go home,wait for the ride,walk home,B
5109,Aubrey shaded Kai's eyes from the sun's bright blast yesterday at Yellowstone National Park.,Why did Aubrey do this?,be knowledgeable,shaded Kai's eyes because Kai because she didn't want Kai to see Ted riding a tiger at the park,shaded Kai's eyes because Kai forgot her sunglasses and had left them in her room at home,C
5110,Robin got a hotel room to sleep at on her big business trip.,How would you describe Robin?,feeling bored,well rested for her out of town work,feeling smart,B
5111,jordan was locked up in a prison for robbery but he managed to escape.,Why did Jordan do this?,find a hiding place,escape the country,live a new life,C
5112,Casey wanted some earrings that she couldn't afford and urged Jan to take them.,What will happen to Jan?,might get in trouble,steal the earrings,get in trouble,B
5113,Cameron went broke and had to find a job as soon as possible.,How would Cameron feel afterwards?,sad now,poor and in need,vulnerable and unemployed,B
5114,Lee was riding Ash's bike home from school when Ash found them and took the bike back.,How would Lee feel afterwards?,afraid of getting money for taking Ash's bike,caring,annoyed at having to walk,C
5115,Robin helped her friend Sasha feel better and they had a really good t ime.,What does Robin need to do before this?,go out with them avain,think they were better,see that they need it,A
5116,"Remy wanted to have a nice garden, so they decided to grow flowers.",What does Remy need to do before this?,see a nice garden,have flower seeds,get water for the plants,B
5117,Taylor would have passed the test if he had studied.,How would Taylor feel afterwards?,Lazy student,Good,Upset,C
5118,Jan got some extra money as a bonus for doing a good job.,What will Jan want to do next?,give the money away,gamble the money away,keep the money safe,C
5119,Riley enhanced students' lives. He took them on field trips very often.,What will the students want to do next?,thank Riley,train as a teacher,plan various trips,C
5120,Tracy hurt Austin much worse by grabbing a knife and stabbing the shin.,Why did Tracy do this?,approach Austin,revenge,grab a knife,B
5121,Bailey went to the store about bought everything Kendall needed.,Why did Bailey do this?,thank bailey,make Kendall fail,help Kendall succeed,C
5122,Jan found time to practice the piano before her recital.,What will Jan want to do next?,quit,learn the piano,practice,C
5123,Sasha showed her friends the way to the park.,Why did Sasha do this?,likes to be in charge,go to the park,a hard worker,B
5124,"It was a grade A nursery school that had been thoroughly researched, so Remy left the kid in their hands.",What will Remy want to do next?,head off to work,find the nursery school,best for the kid,A
5125,Quinn always beat his wife when they played chess together in the evenings.,What will Quinn want to do next?,study more chess,avoid his wife,stay away from his wife,A
5126,Carson was away at college. They studied all week.,How would you describe Carson?,a lazy student,a good student,likes to party,B
5127,Taylor told Kai's parents that he had proposed to Kai.,What will Kai's parents say to Taylor?,be flattered by Taylor's proposal,will ask when the wedding is,will get angry,A
5128,Sasha is cooking in the kitchen when they hear the door bell ring. Sasha can't believe it's already time for guests to arrive.,What will Sasha want to do next?,rush around making any last minute clean ups,let them wait outside while finishing prepare dinner,focus on finishing cooking dinner and then answer,A
5129,Jesse knew that before he went off to work he would need to feed his friend's pet.,What will Jesse want to do next?,forget about the cat,go to work,stay and eat cat food,B
5130,"Robin was always late, making planning with him to be a pain.",What will Others want to do next?,improve his punctuality,plan taking into consideration how late he will be,not invite Robin,C
5131,Aaron was applying to nursing school and asked Lee for a recommendation letter.,What did Aaron need to do before this?,finish the nursing prerequisites,as jealous,as envious,A
5132,Skylar borrowed some tools from their neighbor to do some home repairs.,What will Skylar want to do next?,destroy the tools,thank their neighbor,needed to go to their house,B
5133,"Sasha showed Lee the lab reports and assured him that he would be fine, as long as he took the medicine as prescribed.",What does Sasha need to do before this?,Try the medicine before prescribing it,go home and rest,Order the lab tests to be done on Lee,C
5134,Jan carried the plan into effect so she could start her company that solves world hunger.,Why did Jan do this?,wanted to feed the hungry,hated people,a spiteful person,A
5135,They ran after they ticked off the lion and climbed a tree but forgot that it could climb.,What will Austin want to do next?,Jump down for safety,Stay in the tree,get away from the lion,C
5136,bailey was overwhelmed so he asked his neighbor for help with the garden trolls.,What will Bailey want to do next?,keep fighting the garden trolls,curse her neighbor,hate her neighbor,A
5137,Skylar contributed to Tracy's success in every way they possibly could.,What does Skylar need to do before this?,thank Skylar,show their appreciation,needed to know Tracy,C
5138,Carson asked Sasha to marry him so she finally gave him an answer.,How would you describe Sasha?,be excited,sasha will be happy,nervous about getting married,A
5139,Sydney was having a bad day and taking it out on everyone. Sydney also gave Ash grief for no reason.,What will happen to Ash?,become upset,become happy,be confronted by Ash for her treatment of them,A
5140,Addison looked pretty good in their new dress at the party.,How would Addison feel afterwards?,mad and annoyed,excited and happy,sad and alone,B
5141,"Austin told lies to her, so she never found out about the affair.",How would Others feel as a result?,deceived,like they can trust austin,proud of austin,A
5142,Aubrey bought Alex's own shoes after Aubrey's ripped and there wasn't a store in sight.,What will Aubrey want to do next?,find a store and get their own shoes again,thank Alex for the hat,thank Aubrey for buying the shoes after that,A
5143,Bailey has recently moved to a new apartment. There are spiders around the apartment. Bailey kills a spider with her shoe.,Why did Bailey do this?,kill other spiders,clean her shoe,doesn't like bugs in her apartment,C
5144,Quinn laid next to Jordan and was grateful for every moment.,How would Jordan feel as a result?,they were cared about,loving and loved,they were hated,B
5145,Ash let the cat inside because it was freezing outside.,How would you describe Ash?,awful,mean,kind,C
5146,"After learning about a string of burglaries in the area, Aubrey protected their property by installing a new security system.",How would Aubrey feel after securing their home?,insecure in their home,more comfortable in their home,unsure about their home's security,B
5147,Kendall stood to reason when she gave her persuasive speech in class.,What will happen to Others?,convince her classmates,be offended,be swayed,C
5148,Cameron became and actor and so did their friend Jesse.,How would you describe Cameron?,As someone who likes to act,proud,As someone who taught acting,A
5149,Austin felt like an eternity passed even though they were waiting only for 5 minutes.,How would you describe Austin?,not rushed at all,glad to go,in a hurry,C
5150,Robin called her daughter after not hearing from her for awhile.,How would Others feel as a result?,very upset,mad at her,happy to hear from her,C
5151,Remy put all of their eggs in their own basket rather than putting it in the same basket.,Why did Remy do this?,make their eggs special,get a basket,keep the eggs from getting mixed up,C
5152,Jordan persuaded the citizens to vote.  They wanted to serve in the city council.,What will Jordan want to do next?,wanted to have power,wanted to have influence,convince others,C
5153,Ash held Jordan's gaze from across the room.,How would Ash feel afterwards?,like smiling at Jordan,they should look away,stalked,A
5154,"Aubrey was at work talking with their coworkers and showing them photos of their new puppy. After four photos, Aubrey showed another one.",Why did Aubrey do this?,ask her co-workers questions,share their excitement,share their anxiety,B
5155,Jesse watered Alex's lawn while they were on a trip.,How would Alex feel as a result?,Like they could help,Glad they are their friend,Like they could be a friend,B
5156,Bailey only went to the party because Taylor said Bailey would.,How will this make Bailey feel?,pleased,not care about what Bailey will do at the time of the party,annoyed,C
5157,Skylar learned german in high school and began planning a trip to Germany.,What will Skylar want to do next?,plan a trip to Spain,shop for flights,cancel a flight,B
5158,Kai remembered her forever and was so happy when they got back in touch.,How would Kai feel afterwards?,isolated afterwards,lonely afterwards,reconnected afterwards,C
5159,Kai practiced at home to get good at singing her favorite song.,What does Kai need to do before this?,make a you tube video,have a favorite song,audition for the glee club,B
5160,Robin was Jesse's son and looked out for them as they were aging. Robin conducted Jesse's affairs.,What will happen to Robin?,inherit Jesse's estate,lose the house,make things happen,A
5161,Remy produced her impression of Casey. It was an excellent impression.,How would you describe Remy?,bad at voices,boring and dull,fun and witty,C
5162,Lee stood shoulder to shoulder with her competitors and got ready to play.,What will Lee want to do next?,leave next,was motivated,win next,C
5163,Tracy payed Sasha for the work they did.,What will Tracy want to do next?,think about Sasha,ask Sasha if they could do a good job,tell Sasha what a good job they did,C
5164,Quinn sent the papers away so that they could be filed and the taxes would be paid.,What will Quinn want to do next?,upset about taxes,breathe a sigh of relief,congratulate Quinn,B
5165,Skylar taught Cameron everything they could about the world and prepared them for adulthood.,What will Cameron want to do next?,watch Cameron grow up,make sure they could survive,teach them about the world,B
5166,Carson went to pay for the groceries but suddenly realized that he left his wallet at home.,What does Carson need to do before this?,go back home,get his wallet from his pocket,go to the store,C
5167,Remy gave Cameron all the benefits of reducing their carbon footprint on the planet.,Why did Remy do this?,Because Remy cares about foreign countries,Because Remy cares about their politics,Because Remy cares about the environment,C
5168,Riley had a bad cough so they bought some cough syrup at the store.,How would Riley feel afterwards?,sore,not feeling very well,relief,C
5169,Alex put their things away because it was time to do chores.,What does Alex need to do before this?,get out their things,talk about their chores,do their chores,A
5170,Carson went right back to her after she cheated on him for the third time.,Why did Carson do this?,a man,desperate,spy on their social media,B
5171,Bailey's friend had a cat that got pregnant and gave birth five kittens. Bailey got one of them.,What does Bailey need to do before this?,buy clothes and shoes for catwalk,"hide cat milk, litter box and scooper from their parents","buy cat milk, litter box and scooper",C
5172,Cameron met the body's supervisor of their current department.,Why did Cameron do this?,work somewhere,wanted to influence the supervisor,go to the supervisor's location,B
5173,Sasha saved the mother's belongings as the bulldozers razed the house.,What will Others want to do next?,The Others will go out dancing,The Others will steal the items Sasha saved,The Others will go skiing,B
5174,Kai translated to the students at practice who didn't understand English.,How would Kai feel afterwards?,he taught them English,a translator,helping the students,C
5175,Cameron kept Skylar busy until it was time to leave for school.,What will Cameron want to do next?,go to school,take a nap,eat dinner,A
5176,Addison currently embarked on a project siphoning her money even the two loans she was granted.,Why did Addison do this?,owe the bank,be thorough in this project,get two loans,B
5177,Kai went to the restaurant and asked the waiter what the specials were.,What will Others want to do next?,take away their food,tell them the specials,out of curiousity,B
5178,Casey and Taylor were wrestling. Casey rolled onto Taylor's back.,What will happen to Casey?,get hurt,in charge,sad,B
5179,Austin did a lot of hard work as he wanted to graduate with his friends.,Why did Austin do this?,wanted to graduate with all of his friends,was left behind when his family moved,continue to do hard work,A
5180,alex was tasked with a new assignment so he got the project under way.,What does Alex need to do before this?,ignore his boss,have his mind set on doing whatever he wants on the project,listen to what his boss needed done,C
5181,"Kendall and her friends wanted to go to the movies, so Kendall bought the tickets online.",How would her friends feel as a result?,anxious that they are going to see the latest film,pleased that they are going to see the latest film,disappointed that they are going to see the latest film,B
5182,"addison was addicted to drugs, so tracy came to help addison.",How would Addison feel as a result?,upset,angry,grateful,C
5183,Casey died and Ash was left responsible for Casey's estate so Ash sold Casey's house.,What will Ash want to do next?,pass the money on to Casey's family,not deal with other matters,forget about the incident,A
5184,Kai threw a penny into the water as a way for good luck.,What will Kai want to do next?,make a wish,jump in the water,find a fountain,A
5185,"After getting to know each other for a few months, Carson started dating Aubrey.",What will happen to Carson?,and Aubrey will get to know each other even better,and Aubrey will get to know math even better,get a job in the same office as Aubrey,A
5186,taylor was always looking for a way to make money so he sold cookies.,How would you describe Taylor?,as smart,as lazy,as stupid,A
5187,Quinn protected the home from attack in the night during the zombie apocalypse.,How would Quinn feel as a result?,argumentative,strong,some relief,B
5188,Taylor cut a long story short so she could go shopping.,What will Taylor want to do next?,go back to bed,go to the store,go for a jog,B
5189,"Tracy was not feeling well and when Quinn asked if she work a little faster, Tracy yelled and threw a book at her.",What will Tracy want to do next?,dance,Get far away from Tracy,apologize,C
5190,Kai walked away from school since it was time to go home.,What will Kai want to do next?,needed to get home,go down the street,talk to their teacher,B
5191,Cameron dashed their hopes against a stone when he went out with Sarah anyway.,How would you describe Cameron?,disrespectful to his parents,without hope,lost and alone,B
5192,Addison saw Lee across the parking lot. Addison came quickly towards Lee to talk.,What will Addison want to do next?,yell at Lee,be in the parking lot before this,hug Lee,C
5193,Remy prepared another meal knowing she would be hungry after a long day at work.,Why did Remy do this?,refrigerate the extra meal,did this to feed the homeless,did this to be prepared after work,C
5194,Skylar applied their desires unto Sasha because she was demanding and bossy.,How would Sasha feel as a result?,demanding and bossy,quite submissive,capable and controlling,B
5195,Skylar got Bailey's phone number and called her very often.,What will Skylar want to do next?,ask Skylar on a date,block Bailey,change her phone number,A
5196,Riley would show up tomorrow for their summer wedding and marry Ash.,Why did Riley do this?,become Ash's chef,be a beautiful bride,go on a vacation,B
5197,Kendall quit the team after they decided they want to try acting.,What will Others want to do next?,start practicing dance every night,For Kendall to succeed at what they try,sign up for dance lessons,B
5198,Ash hit their sister while they were playing on the floor. Cameron took away Ash's toys.,How would Ash feel as a result of it?,glad for it,happy about it,disappointed by it,C
5199,Casey bought an air conditioner because she does not like the heat.,How would Casey feel afterwards?,a consumer,felt better,felt abused,B
5200,Cameron performed Riley's work by getting a broom and sweeping the floor.,What will Cameron want to do next?,passive,strong,lazy,B
5201,Austin opened Tracy's mouth wide and inserted his tooth tools.,What will Austin want to do next?,ignore her,extract the tooth,run away,B
5202,Jesse got a tutor before a hard test that was coming up.,How would you describe Jesse?,responsible,study hard,irresponsible,A
5203,"Carson received praise from others, even though they weren't really the one who did the deed.",How would Carson feel afterwards?,like a fraud,honest,angry,A
5204,Bailey fed Sydney's fish with the special food.,How would Sydney feel as a result?,dependable,unloved,her needs were satiated,C
5205,"After Casey's first car broke down, she bought a car from a trusted friend.",What does Casey need to do before this?,get her old car fixed,return the car to her friend,save up the money to buy a car,C
5206,"Sasha was in first place at the race, but because she broke her leg Sasha would no longer be able to compete.",How would the other participants feel as a result?,disciplined and athletic,like they were fortunate to be uninjured,like Sasha got lucky,B
5207,Alex finally came to visit. Ash hadn't seen Alex in years before this.,How would Ash feel afterwards?,sad about it,happy to spend time with him,like going home,B
5208,Lee was playing with Remy and pulled her hair playfully.,What will happen to Lee?,have a good time,giggle,laugh out loud,A
5209,Jordan found Jan's wallet.,What will happen to Jordan?,lose it again,be relieved,be revered,B
5210,Jordan enjoys sci-fi books and movies. Jordan is interested in art and enjoys writing poems.,How would you describe Jordan?,not artistic,artistic,interested in non-fictional stories,B
5211,Skylar guessed on a test and thought she could be wrong on it.,How would you describe Skylar?,guesser,fearful,scared,A
5212,"Kai would play with Ash everyday when they got home from work, no matter how tired they were.",How would you describe Kai?,Good they played,an attentive father,an abusive father,B
5213,Riley paid Carsons expenses so he could enjoy life more.,What will Riley want to do next?,Buy drinks to celebrate,Ignore Carson,get the money from the bank,A
