,context,question,answerA,answerB,answerC,correct
17,O Ash cometeu um erro no trabalho e a Riley deu-lhe outra oportunidade.,O que é que a Riley vai querer fazer a seguir?,Tente mais do que nunca melhorar,Ele quer que Ash se safa .,Sabe das pessoas.,B
18,A Kendall deixou o cão do Carson sair do canil.,O que é que o Carson vai querer fazer a seguir?,acaricie o cão,Cuidado com ele .,Deixa-o correr livre.,C
19,A Taylor vendeu a terra da Jordan pelo preço que pediu.,O que vai querer fazer a seguir?,receber uma comissão a seguir,comprar uma casa nova,ir de férias,B
20,A Skylar estava a fazer uma exposição sobre câmaras para a feira de ciências da escola na cidade deles.,Porque é que a Skylar fez isto?,Precisava de fazer um obturador para a câmara,Configurar a cabine de ciência dele,Estava zangado e queria dar um murro na caixa.,B
21,O Riley deu à Quinn uma vista da cidade do apartamento alto dele.,O que vai acontecer ao Riley?,Agradeço-lhe .,Não terá amigos.,Ele vai saltar .,A
22,Quinn estava com pressa e estava a conduzir rapidamente pela auto-estrada.,Como descreveria o Quinn?,Não tenho pressa.,De pressa.,muito infeliz,B
23,Carson disse à irmã de Cameron a notícia de que Cameron estava grávida.,O que Cameron vai querer fazer a seguir?,Escolha um nome,fumar um cigarro,beber álcool,A
24,A Jordan disse ao namorado da Riley que a Riley podia sair naquela noite.,O que é que a Riley vai querer fazer a seguir?,Saem com o namorado deles.,Fala com o namorado da Riley.,Diz-lhes que são divertidos.,A
25,A Sydney finalmente venceu a amiga no Dr. Mario depois de semanas de prática.,Porque é que a Sydney fez isto?,Prova-se à amiga dela.,Tente vencer Sydney .,Parabéns à Sydney .,A
26,A Skylar ama muito o irmão e segue-o para todo o lado.,Porque é que a Skylar fez isto?,Conhece todos os amigos do irmão dela.,perturbar o irmão dela.,Ama o irmão dela.,C
27,Kendall viu Robin começar a inclinar-se muito perto da beira do penhasco e agarrou os quadris de Robin.,Porque é que a Kendall fez isto?,Certifique-se que Robin caiu do penhasco enquanto olhava,empurrar o Robin para o penhasco e matá-los .,Certifique-se que Robin fique segura enquanto procura.,C
28,Austin estava cansado e não queria ir à escola hoje.,O que é que o Austin vai querer fazer a seguir?,ir para a escola,Finge estar doente .,Ele fez isto porque não dormiu bem.,B
29,O Austin precisava de boleia e pediu à Skylar.,O que é que a Skylar precisa de fazer antes disto?,Diz ao Austin que ela está ocupada.,Descobrir onde estava o Austin.,Ignora a chamada do Austin.,B
30,Quinn bateu o amigo do Jesse em todos os jogos que jogaram e logo se cansou da falta de desafio.,O que quer o Quinn fazer a seguir?,ter um jogo desafiador,Peça ao Jesse uma revanche .,Declaram-se campeões reinantes,C
31,"O Jordan ganhava muito dinheiro anualmente, sempre conseguindo pagar as contas a tempo.",Como se sentiria Jordan depois disso?,relaxado,triste,financeiramente responsável,C
32,Tracy passou a semana inteira trabalhando na casa da árvore para as crianças.,Como você descreveria Tracy?,Preguiçosa,Trabalhou todo o fim de semana construindo a casa da árvore de uma criança,industrious,C
33,A Sasha pediu conselhos à Sydney porque estava nervosa com a faculdade.,Como descreveria a Sasha?,Como ajudar o Sasha.,cauteloso,Como dar conselhos ao Sasha.,B
34,Taylor gostava de comer comida picante quando saía para comer.,Como é que a Taylor se sentiria depois?,Muito quente.,Como se ela tivesse comido comida frágil.,Gosta de comida quente.,C
35,Alex adorou muito e passou a noite toda a falar sobre isso.,Como se sentiria o Alex depois?,Aborrecido.,separado,- Ótimo.,C
36,O Kai ajudou a mãe a preparar o jantar naquela noite.,O que os Outros vão querer fazer a seguir?,Cheio,Amado,Espero que gostem do jantar.,C
37,Quinn deu Austin detenção porque Austin estava sendo muito rude com Quinn.,Como se sentiria Austin como resultado?,culpado,firme,excitado,A
38,"Robin notou alguém se esgueirando no quintal de Jan, então Robin protegeu a propriedade de Jan.",Como você descreveria Robin?,proteção,descuidada,Gratidão,A
39,Addison colocou o filho nas costas e começou a dar-lhes uma palmadinha nas costas para fazê-los tossir.,Como se sentiria a Addison depois?,em negrito,um bom pai,interessados,B
40,A Skylar contou à Alex como se sentiam e a Alex perguntou o que se passava.,Como é que a Skylar se sentiria depois?,gosta de partilhar o que sente,ouvido,Gosta de confiar no Alex.,B
41,Taylor dirigiu os alunos para suas carteiras e mostrou-lhes o seu material escolar.,Como descreveria Taylor?,média para crianças,muito organizada,feliz,B
42,"Skylar vê a mulher tropeçar enquanto caminha para o carro, as malas das mulheres derramam e as compras caem por todo o lado.",O que vai a Skylar querer fazer a seguir?,Ajuda-me a jogar as coisas fora.,Ajuda as mulheres a apanharem .,Não me ajude e vá embora.,B
43,Skylar foi em torno de Taylor para chegar à fonte de bebida.,O que a Skylar vai querer fazer a seguir?,Dê-me licença a seguir,tirar uma soneca a seguir,Faça sua lição de casa em seguida,A
44,Remy deu a Addison um copo de vinho para sua promoção no trabalho.,O que Addison vai querer fazer a seguir?,Fuja para a floresta,Agradeça à outra pessoa,Pegue um barco na água,B
45,A Robin ia casar com o homem dos seus sonhos que ela amava.,O que vai querer fazer a seguir?,Desça pelo altar,Sair em encontros com o homem,Fugir.,A
46,"Era um dia muito quente, o Quinn decidiu vestir o fato e saltar para a piscina.",Porque é que o Quinn fez isto?,encontrar uma maneira de relaxar,A refrescar-se do calor,Fique dentro o dia todo.,B
47,Addison dormiu bem pela manhã e queria descansar o dia todo.,O que é que a Addison vai querer fazer a seguir?,Relaxa naquele dia.,energizado,dormir,A
48,O Quinn arranjou um novo software e ganhou clientes facilmente.,O que quer o Quinn fazer a seguir?,Vai lá para fora.,Reinicie o computador,Vai correr.,B
49,O Ash provocou uma resposta do Jesse depois de terem brigado.,O que é que o Ash vai querer fazer a seguir?,Ignora isso.,Formar uma resposta ela mesma,Desvalorizá-lo,B
50,"Sasha queria reunir todos para orar, Sasha juntou as mãos em círculo.",Por que o Sasha?,convidar seus amigos,quis ter unidade,quis ter todos desaparecido,B
51,"Carson era uma pessoa simpática, por isso, deu um beijo a Aubrey.",O que é que o Aubrey vai querer fazer a seguir?,Ignora o Carson .,Olhe para Carson .,Evite o Carson .,B
52,"A Robin estava farta da Casey e das suas palhaçadas, por isso deu uma pancada à Casey.",O que vai acontecer ao Casey?,Casey vai chorar .,A Casey vai contar sobre o Robin.,Casey vai perdoar Robin.,A
53,Sydney levou para a cama dela querendo dormir uma noite.,O que queremos em seguida por Sydney?,"sono, pois estavam cansados",queda de sono,choro,B
54,O Quinn forneceu ao Remy a estrutura para a pesquisa.,O que é que o Remy vai querer fazer a seguir?,Escrever um trabalho com o Remy.,Ordenar ratos para estudo in vivo,Dá um aumento ao Remy .,A
55,O Remy finalmente poupou-lhes dinheiro para comprar comida no supermercado.,O que é que o Remy precisa de fazer antes disto?,Preciso de cortar cupons para a mercearia.,Precisam de comprar pedaços caros de carne.,Queria poupar para as férias.,A
56,Sydney é um pato. Sydney escapou de sua gaiola.,O que Sydney vai querer fazer a seguir?,ir nadar,pegar Sydney e cozinhá-lo,Sair para jantar,A
57,"O Lee trouxe a bicicleta do Kendall da loja, onde foi reparada.",Como Kendall se sentiria?,Foi muito grato que Lee trouxesse a bicicleta para casa.,Na oficina de reparação,engenhoso,A
58,A Jordan via a Bailey três vezes por semana desde que terminaram há dois meses.,Como se sentiria Jordan depois disso?,Envergonhado como resultado.,planeamento das reuniões de escritório,Tentando voltar a estar juntos.,C
59,"A Skylar tinha bilhetes extras e decidiu levar os vizinhos, os Browns, para o Super Bowl.",O que os Outros vão querer fazer a seguir?,comer,Vai para casa.,Obrigado Skylar .,C
60,A Riley comprou um animal novo e levou-o ao veterinário.,Porque é que a Riley fez isto?,Corra para o lago .,Ter animais de estimação saudáveis,Não têm animais de estimação,B
61,"Skylar poderia dizer que Lee está sendo insolente e solipsista, mas Lee",O que acontecerá com Lee?,obter uma promoção,Perder o seu emprego,conta Lee,B
62,"Carson não tinha favorito, por isso apoiava todas as equipas.",Como descreveria o Carson?,apaixonado por desporto,Um verdadeiro jogador de equipa.,uma pessoa indecisa,A
63,"Todos os outros gozavam com a Bailey, mas o Carson viu as qualidades positivas delas e abraçou-as.",Como descreveria o Carson?,benevolente,Como se ela pudesse elogiar a Bailey .,É triste que todos tenham sido maus para com a Bailey.,A
64,Jan disse a sua amiga que ela gostava dela e queria ser amiga dela.,O que vai acontecer com Jan?,sorriso,indiferente,estar deprimido,A
65,Era o aniversário do Remy e eles adoraram o presente da mãe.,O que é que o Remy precisa de fazer antes disto?,Perguntar sobre um presente da mãe deles.,- Não é o meu aniversário.,louvar o dom,B
66,"A Jan ensinou aos filhos da Casey, e um dia ela descobriu que a Jan tinha espancado um dos filhos dela.",Como se sentiria o Casey?,Como se tivessem sido violadas.,que Jan podia ser confiada com os filhos dela,que Jan era um bom amigo,A
67,Alex viveu no apartamento velho de Jan por muitos anos porque eram preguiçosos demais para conseguir emprego.,Como descreveria o Alex?,preguiçoso e sem inspiração,necessitados e incapazes,egoísta,A
68,Ash deu a Jan a oportunidade de trabalhar no trabalho deles.,O que vai o Jan querer fazer a seguir?,Dê a Jan novos documentos de funcionários.,Dê a Jan uma visita à instalação .,Aproveite a oportunidade.,C
69,A Robin reparou no cabelo do Aubrey na cara deles o tempo todo.,O que é que a Robin precisa de fazer antes disto?,Decidir que foi culpa do Aubrey.,- Fazer o cabelo do Aubrey melhor.,Agendar um corte de cabelo,C
70,Quinn usou as mãos da filha Casey para amassar a massa enquanto fazia pão fresco.,Como descreveria o Quinn?,Um estranho para Casey.,Um mau amigo.,Um grande pai.,C
71,Tracy pediu ao Lee para dar-lhes uma pausa do trabalho nas minas de carvão naquele dia.,O que vai acontecer ao Lee?,Desfrutar de uma pausa com a família,recusa-se a dar uma pausa à Tracy,Ser despedido por pedir uma pausa.,B
72,"Carson apoiou toda equipe no torneio, independentemente de qual lado representasse.",O que queremos?,ânimo pela equipe de Carson,Pergunte a Carson qual o seu lado,ser justo,B
73,"Os Bailey amavam os filhos, eram bons pais.",O que é que a Bailey precisa de fazer antes disto?,criar bons filhos,estar grávida,impregnar outras pessoas,A
74,Robin fez uma peça de joias de seu amigo Addison.,Como se sentiria Robin depois?,miserável,remorse,débito,B
75,O Remy deixou cair a carteira na fonte e não reparou que estava desaparecida até voltarem ao autocarro.,Como é que o Remy se sentiria depois?,Infelizes por terem perdido a carteira.,Como voltar para a carteira deles.,Vou procurar a carteira deles.,A
76,Os Kai lutaram para sair depois de estarem presos durante dias.,Como descreveria o Kai?,descuidado,não comprometido,Capaz de,C
77,Alex gostou demais das lágrimas da Sydney depois de lhe dar um murro no estômago.,Como descreveria o Alex?,agradável,um valentão,- Ótimo.,B
78,A Alex subiu em cima do Ash quando estavam na cama juntos.,Como descreveria o Alex?,tímido,sexual,sujo,B
79,Jordan finalmente encontrou o anel que havia perdido há vários anos.,O que a Jordânia deseja fazer a seguir?,Coloque o anel num local seguro,quis utilizá-lo,apagar o anel,B
80,"A Jordan queria que a filha tivesse experiência de vida, por isso levou-a ao circo.",Como descreveria o Jordan?,Uma má mãe.,Uma mãe indiferente.,Como uma ótima mãe.,C
81,"A Kendall fez o trabalho para o cliente, para ajudar a resolver os problemas do cliente.",O que é que a Kendall precisa de fazer antes disto?,satisfazer o cliente,"Por favor , o cliente .",necessários para avaliar a situação,C
82,A Jan passou o resto da vida com o Quinn depois de ele lhe ter pedido em casamento.,Como descreveria o Jan?,fiel,não amigável,odioso,A
83,Skylar foi para uma caminhada no parque para esclarecer a mente após o jogo.,O que o Skylar precisa fazer antes disso?,preparação para o próximo jogo,manter a caminhada no parque,nunca jogar de novo,A
84,A Skylar convenceu o Remy a voltar para casa para a grande festa que estava a ser planeada.,O que é que a Skylar precisa de fazer antes disto?,Precisava de não gostar do Remy.,Veste-te para a festa .,Tinha de dar uma festa.,C
85,O Lee passou por perto do Quinn e ergueu a cabeça para ver se ele estava a dormir.,O que vai acontecer ao Lee?,Larga a cabeça do Quinn.,Fica surpreendido .,Acorda o Quinn.,C
86,"A Robin ficou em casa do trabalho para relaxar, por isso a Robin fez um bolo o dia todo.",O que é que a Robin precisa de fazer antes disto?,Ter os ingredientes necessários,Esquece o trabalho por um tempo.,Desfrute de um dia de paz e tranquilidade,A
87,Carson dependia de outras pessoas para reforçar o seu espírito quando estavam deprimidos.,Como é que o Carson se sentiria depois?,Como um fraco.,uma fonte de sabedoria,Como uma pessoa forte.,A
88,Cameron sentiu uma massa na perna de Robin depois de examinar um tipo de câncer.,O que é que a Cameron vai querer fazer a seguir?,mudar para um assunto feliz,Ignora a massa.,Avise o Cameron da massa .,C
89,A Aubrey mudou-se para uma nova casa e à noite ouvia gritos do porão.,Como é que o Aubrey se sentiria depois?,Ficaria feliz.,assustado,Um ouvinte observador de porões,B
90,Sydney desejou sucesso a Robin enquanto Robin se preparava para a entrevista de emprego.,Porque é que a Sydney fez isto?,Ser um bom amigo do Robin,Vamos almoçar.,Distrair o Robin antes da entrevista.,A
91,"A Robin trabalhava duro durante uma semana para começar o negócio, então, na manhã seguinte ao grande dia de abertura, o Kai deixou a Robin dormir.",Porque é que o Kai fez isto?,Queria ver televisão sozinho.,Queria ajudar a Robin a descansar.,Não a acordes.,B
92,"Tracy aprendeu a tocar violino e, eventualmente, foi convidada a tocar num concerto de elite.",Como se sentiria a Tracy depois?,Agradecido,bem sucedido,Como uma fraude.,B
93,Sydney disse a sua amiga para encontrá-la no cinema para que pudessem ver o filme juntos.,Como descreveria Sydney?,Muito mau .,Um bom planeador.,Muito rude.,B
94,"Não importava quanto Skylar treinasse, ele ainda era mau no jogo.",Como se sentiriam os Outros?,Alegre,Feliz.,Descontentado.,C
95,Robin jogou um jogo com seus amigos e acabou ganhando.,O que vai querer fazer a seguir?,Vai dançar.,Celebrar a vitória dela .,andar de carro,B
96,A Robin foi para a escola para ser oficial e obteve o distintivo.,Como é que a Robin se sentiria depois?,triste,bem sucedido,falhou,B
97,O Jesse levou um encontro para um bar em vez de um bom restaurante.,Porque é que o Jesse fez isto?,Gostava de ser ofensivo com os namorados.,Estava a tentar fazer o encontro ficar louco.,Queria que fosse um encontro casual.,C
98,O Bailey era o centro das atenções porque era a pessoa mais engraçada da sala.,O que os Outros vão querer fazer a seguir?,Evite informar Bailey para futuras festas .,Humor com os outros,Continua a falar com a Bailey .,C
99,O Casey entendeu os sentimentos do Jesse e eles prometeram ser simpáticos com ele.,O que é que o Jesse vai querer fazer a seguir?,Conhecer amigos diferentes,Decida ser gentil.,ser amigo do Casey.,C
100,Kai fez uma entrevista e foi contratado imediatamente.,Como descreveria Kai?,ciúme não foi contratado,alguém que se deu bem em uma entrevista,slowed não obtiveram uma entrevista,B
101,"O Austin atrasou-se para a consulta, por isso o Bailey deu o emprego a outra pessoa.",Porque é que a Bailey fez isto?,Saiam do escritório.,Faça o trabalho.,Faz isso sozinho.,B
102,Reily disse à pessoa para sair depois que a hora de fechar chegasse.,Porque é que a Riley fez isto?,Fizeste isto para ser mal educado.,Fizeste isto para manter a data,Fizeste isto para fechar,C
103,Cameron ficou do lado deles sobre qual comida é melhor.,Como descreveria a Cameron?,que ele era muito duro .,Como alguém que sabe o que gosta,que ele tinha tomado o lado direito,B
104,Kai decidiu sair da peça e deixou o papel para o substituto.,O que vai o Kai querer fazer a seguir?,Estrela da peça,aliviar o tédio dele,encontrar um novo passatempo,C
105,A Jordan amava mais o amigo do Carson porque os amigos deles eram mais simpáticos com a Jordan do que os velhos amigos da Jordan.,Como descreveria o Jordan?,Ciumentos que Jordan gosta dos amigos deles.,procurando amigos bons,Agora está pior.,B
106,Alex estava lendo um artigo sobre uma tragédia que aconteceu com uma família com a qual ele poderia realmente se relacionar.,Como Alex se sentiria depois?,Feliz,Aflita,curioso,B
107,"Depois de muita espera e brincadeira, o Remy finalmente decidiu convidar a Jordan para jantar com frutos do mar.",O que vai acontecer ao Jordan?,comer um jantar de frutos do mar,comer tacos à beira-mar,Comemos cachorros-quentes do Nathan na Coney Island .,A
108,O Jordan falhou no teste do Kendall porque não estudou.,O que é que a Kendall vai querer fazer a seguir?,Chatear o Jordan por ter feito mal.,rebaixar Jordan por falhar,Diga ao Jordan como ele pode melhorar,C
109,"A Casey foi sempre uma pessoa difícil de agradar, nunca deu crédito ao Cameron pelas coisas boas que ele fez.",O que vai acontecer com a Cameron?,Agradecido,sermos bons amigos com o Casey.,Não gosto do Casey.,C
110,A Remy levou a amiga à escola todos os dias nos últimos 3 anos.,O que é que o Remy vai querer fazer a seguir?,mostrar gratidão,Cuidar da amiga dela.,Ajudar a amiga dela.,C
111,Cameron deu o tempo de aula para concluir o exame final da ciência.,O que os alunos querem fazer a seguir?,apagar todas as respostas,grau dos exames,certificar-se de que as respostas estão corretas antes de sumar,C
112,O Quinn levou o amigo à loja para que pudessem comprar o que precisavam para a perna quebrada.,Porque é que o Quinn fez isto?,Obter dinheiro do amigo deles,Levar o amigo de volta para casa.,Ajudem o amigo.,C
113,O Jesse descobriu que a carteira dele estava desaparecida na escola.,O que é que o Jesse vai fazer com eles?,Pergunta-lhes se virem alguém roubar a carteira do Jesse.,Pergunta-lhes se gostam da qualidade da carteira do Jesse.,Tenho de devolver a carteira .,A
114,"Addison cumpriu a missão de Alex e, finalmente, foi recompensada por seus esforços.",Como descreveria a Addison?,Muito discreta.,muito obediente,orgulhoso,B
115,O Jesse fez o bolo para a festa de aniversário do amigo deles.,O que é que o Jesse vai querer fazer a seguir?,Precisam de reunir os ingredientes.,Dêem ao amigo o bolo,Come o bolo na festa.,B
116,"O Casey era o agente do Aubrey, e o Casey formou a administração dele para ela.",O que é que o Aubrey vai querer fazer a seguir?,Obrigado Casey.,ser um bom negociador,Fecha-o .,A
117,"A Bailey queria chegar a tempo, por isso apanhou o comboio.",Como é que a Bailey se sentiria depois?,como nervoso,tão tenso,tão calmo,C
118,"Quando Riley percebeu que tinha esquecido de comprar ovos, voltou à loja.",O que é que a Riley vai querer fazer a seguir?,mostrar decepção,Quero bifes.,comprar ovos,C
119,A Casey jogava jogos de tiro em primeira pessoa com os amigos.,Como é que o Casey se sentiria depois?,Um nerd de videojogos.,"Na verdade, um atirador.",um sentimento de realização,C
120,A Robin levou panfletos pelo bairro para tentar encontrar o cão.,O que os Outros vão querer fazer a seguir?,Ajuda-a a sair.,Encontre uma foto do cão dela.,Deixe-me em paz.,A
121,"A Tracy acabou de ser contratada na loja, por isso começou a trabalhar esta manhã.",Como se sentiria a Tracy depois?,irritado,- Compreendido.,Aborrecido.,B
122,"Remy violou os direitos do vizinho, enquanto estava de mau humor, sabendo que se arrependeria e se desapontaria depois.",Como é que o Remy se sentiria depois?,envergonhado,O termo Remy refere-se às características do cabelo e ao método utilizado para fabricar as extensões capilares,empresa francesa que produz e vende principalmente conhaque,A
123,"A Tracy estava a esconder alguma coisa, por isso o Austin decidiu abrir o cacifo da Tracy.",O que é que a Tracy vai querer fazer a seguir?,Procurem no cacifo .,Descobrir o que a Tracy estava a esconder.,Grita em Austin .,C
124,O Jesse montou uma montanha russa depois de comer cinco cachorros-quentes e batatas fritas.,O que é que o Jesse vai querer fazer a seguir?,vomitar,Deitar-se na montanha russa,Fazer tudo na feira,A
125,Taylor estendeu a mão para segurar a Alex e acidentalmente bateu nela.,Como Alex se sentiria?,Como se estivessem tristes.,Envergonhado.,dor nos dedos,C
126,A Skylar entrou na polícia para o Tracy e eles fizeram o duelo por algumas horas.,Como descreveria a Skylar?,cansado,sentir-se forte,sentir-se preguiçoso,B
127,Kendall tentou parar o seu vício no café.,O que é que a Kendall vai querer fazer a seguir?,Não compre café.,beber água,Não faças café.,A
128,O Carson tirou a carta e conduziu um carro.,Porque é que o Carson aprendeu a conduzir?,- Não.,Fazer donuts num parque de estacionamento,- Vamos mais depressa .,C
129,"Mesmo jurando segredo, Jordan não conseguiu manter o segredo.",Como descreveria o Jordan?,Uma boca tagarela,decepcionante na Jordânia,traído pela Jordânia,A
130,Sasha era professora e estavam a avaliar as capacidades das crianças.,Porque é que o Sasha fez isto?,ensinar as crianças matemática,tentaram raptá-los.,ver se precisavam de ajuda,C
131,O Cameron enviou uma mensagem rápida ao seu patrão para denunciar um esquema de e-mail.,O que é que a Cameron vai querer fazer a seguir?,Envie um e-mail ao operador do golpe e peça-lhe para parar,Verifique o computador para outros problemas,Tratar de um esquema de pesca por e-mail,B
132,"Kendall tentou muito manter a compostura, mesmo que sua equipe estivesse perdendo o jogo.",Como se sentiria a Kendall depois?,Não permitiram esforço suficiente,nervoso,Como se ela tivesse dado o seu melhor no combate.,C
133,A Bailey comeu num restaurante e gastou muito dinheiro.,O que é que a Bailey precisa de fazer antes disto?,Fique em casa.,Deixou o emprego.,Dirigir para o restaurante,C
134,A Tracy apagou a sede deles com a gatorade hoje.,O que é que a Tracy precisa de fazer antes disto?,Queria hidratar-me.,precisava ficar em casa.,Precisava de comprá-lo.,C
135,A Bailey queria que os pais da Aubrey soubessem que ela estava grata pela ajuda.,Como é que a Bailey se sentiria depois?,Como pensar em fazer algo bom por eles.,Como pensar em agradecer-lhes.,Como fazer algo bom por eles.,C
136,Austin chorava muito quando seu cão morreu naquele dia.,Como descreveria Austin?,Uma pessoa muito feliz,Muito triste,Estático,B
137,Sasha viu um lobo com os filhotes e tirou umas fotos.,Como é que o Sasha se sentiria depois?,zangado depois disto.,surpreendido depois disto,Fotógrafo da natureza,B
138,Skylar ajudou o animal a entender como seguir as orientações.,Como descreveria o Skylar?,tipo,como são capazes de,irritação,A
139,Cameron contou a alguém um segredo sobre o assassinato que aconteceu ontem à noite.,O que os outros vão querer fazer a seguir?,Chame a polícia,corajoso,Preguiçosa,A
140,Carson pegou a mão da Jordan na mão deles e juntos saltaram do penhasco e para a água.,Como descreveria o Carson?,Um amigo aventureiro.,"Um amigo recluso,",um cuidador,A
141,"O Austin tem um quadro e o Quinn queria saber sobre ele, por isso pediram ao Austin para descrever o quadro.",O que quer o Quinn fazer a seguir?,Compre o quadro.,Ouvi falar da pintura.,Para o Austin vender-lhes o quadro.,B
142,Taylor confessou o amor à rapariga.,Como se sentiria a menina?,odiado e desprezado,Querida e desejada,Rejeitado e feio.,B
143,O Casey fez um elogio ao Carson depois de o ver.,Como se sentiria Carson?,egoísta,Confiantes em si mesmos.,Melhor do que os outros.,B
144,A Addison perguntou-lhe as instruções até que a Sydney ficou zangada e se recusou a dar as instruções outra vez.,O que vai acontecer com a Addison?,Pára de falar.,Não é possível encontrar o destino,Volte para casa.,B
145,"O Quinn precisava de ajuda com o trabalho, por isso a Alex orientou o trabalho do Quinn no caminho certo.",Como se sentiria o Alex depois?,um traidor,Desonesto,Eles ajudaram o Quinn .,C
146,O Austin serviu o propósito da Robin depois de ela pedir ajuda.,Como descreveria o Austin?,- Tenho medo.,Como uma grande pessoa,- É corajoso.,B
147,O Remy preparou-se para lançar e depois dobrou o braço atrás da cabeça.,Como descreveria o Remy?,atlético,irritado,triste,A
148,Lee quoth foi em conexão com a investigação criminal em curso do suspeito.,O que os outros vão querer fazer a seguir?,argumentam que não está realmente conectado,entender a conexão do fio de TV,Faça parte dela,A
149,"Jan nunca vai ver a Sasha depois de se mudar da França por causa do seu novo trabalho em Washington, DC.",O que vai acontecer com o Sasha e o Jan?,Deprimido,Solitário,viver em países diferentes,C
150,A Riley vai dar uma festa surpresa para o chefe e manda um e-mail a todos os funcionários a planear um plano e a pedir-lhes para não revelarem o segredo.,Porque é que a Riley fez isto?,Certifique-se que as pessoas cheguem tarde à festa.,Planeia a festa surpresa .,Certifique-se que a surpresa não foi estragada.,C
151,O Casey comprou comida mesmo que tivessem comida em casa.,Porque fez o Casey isto?,ir a uma mercearia,comer mais,comer comida em casa,B
152,Aubrey pediu à Skylar para ser sua esposa e Aubrey aceitou o pedido.,O que é que o Aubrey vai querer fazer a seguir?,Bebem as suas tristezas,Planejar o casamento,lutar com a Skylar,B
153,O Jordan deixou a minha carteira em casa depois de lhe ter dito para nunca a esquecer.,Como descreveria o Jordan?,arrependido,mandona,esquecido,C
154,"O Casey comprou um ar condicionado, porque o calor do verão estava a drenar toda a energia deles.",O que vai querer fazer o Casey a seguir?,Vai à loja.,Desfrute do ar fresco .,Arranja um empréstimo para o ar condicionado.,B
155,"Depois de ler tantos blogs on-line no mês passado e seguir influenciadores, Jan começou um blog com sua amiga.",O que os outros vão querer fazer a seguir?,Converse com seu amigo,Leia sobre os últimos posts de Jan,Conheça o novo blog de Jan,B
156,Sasha levou os gatos para o abrigo porque não tinha escolha senão pô-los a dormir.,Como é que o Sasha se sentiria depois?,triste,feliz,Elated,A
157,"O Quinn decidiu cortar o cabelo, era muito longo.",Como se sentiria o Quinn depois?,- Faça um novo corte de cabelo .,Como manter o cabelo curto.,Infelizes porque não tinham o cabelo comprido.,B
