,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
5010,Austin estava deixando o amor de sua vida em São Francisco. Austin embarcou no trem.,"Austin estava saindo do amor de sua vida em São Francisco, Austin embarcou no trem.",O Austin estava a deixar o amor da sua vida em São Francisco.,Como Austin se sentiria depois?,Como se sentiria Austin depois?,Como é que o Austin se sentiria depois?,muito orgulhoso,Muito orgulha,Muito orgulhoso.,Devastado para sair,devastado para o despedimento,Devastado por partir.,muito triste,muito triste,Muito triste .,B
5011,Kendall estava tão frustrado que decidiu matar todas as formigas à vista.,Kendall ficou tão frustrado que decidiu matar toda formiga à vista.,A Kendall estava tão frustrada que decidiram matar todas as formigas à vista.,O que os outros sentiriam depois?,O que os outros sentem depois?,O que os outros sentiriam depois?,uma pessoa má,uma pessoa média,Uma pessoa má.,uma pessoa desagradável,uma pessoa singular,Uma pessoa desagradável.,como Kendall exagerou matando as formigas,como Kendall super-reagiu matando as formigas,Como Kendall exagerou em matar as formigas,C
5012,"A Bailey estava a conduzir, pararam na frente da Riley.","Bailey estava dirigindo, eles pararam em frente à Riley.",A Bailey estava a conduzir e pararam em frente da Riley.,Como você descreveria Bailey?,Como descreveria Bailey?,Como descreveria a Bailey?,nervoso,nervosismo,nervoso,um trabalhador duro,um trabalhador duro,Um trabalhador duro.,um bêbado,um bebé,um bêbado,A
5013,Sydney deixou o quarto de Austin e ordenou que Austin o limpasse antes que ela voltasse.,"Sidney saiu da sala de Austin, Sydney mandou que Austin a limpasse antes de voltar.",A Sydney tinha ordenado ao Austin que limpasse o quarto antes de voltar.,O que Austin fará a seguir?,O que fará Austin?,O que é que o Austin vai fazer a seguir?,desobedecer Sydney,desobedecer Sydney,Desobedecer Sydney,ela vai ficar louca,ela ficará enjoada,Ela vai ficar louca.,Limpar o quarto,limpar a sala,Limpa o quarto.,C
5014,Tracy teve que tomar os SATs no sábado e passou a semana inteira estudando.,Tracy teve que tomar os TS no sábado e passou a estudar toda a semana.,A Tracy tinha de fazer os exames de graduação no sábado e passou a semana inteira a estudar.,Porque é que a Tracy fez isto?,Por que o Tracy fez isso?,Porque é que a Tracy fez isto?,Queria entrar em uma boa faculdade,quis chegar a um bom colégio,Queria entrar numa boa faculdade.,obter livros,cheque de livros,Compra livros.,estudo,estudo,Estudo,A
5015,Jesse encerrou o ato no final da apresentação.,Jesse aproximou o ato de um fim de execução.,Jesse trouxe o ato ao fim do espetáculo.,O que Jesse precisa fazer antes disso?,O que é necessário para Jesse antes disso?,O que é que o Jesse precisa de fazer antes disto?,Vá para a piscina antes disso,vá para a piscina antes deste,Vai à piscina antes disto.,Sair da escola antes disso,parar de estudar antes,Deixe a escola antes disto.,Comece o desempenho antes disso,inicia-se a atuação antes deste,Começar a apresentação antes disto,C
5016,Lee adormeceu no carro enquanto seu amigo estava dirigindo.,Lee dormiu no carro enquanto seu amigo estava dirigindo.,Lee adormeceu no carro enquanto seu amigo dirigia.,Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,sonolento,sono,sonolento,desperto,náusea,acordado,engraçado,lúdico,Engraçado.,A
5017,Bailey julgou a falta de justiça por aquele homem e então percebeu que ele o havia julgado mal.,"Bailey julgou a falta de justeza por esse homem e, então, percebeu que",O Bailey julgou a falta de justiça daquele homem e depois percebeu que o julgou mal.,Como Bailey se sentiria depois?,Como Bailey se sentiria depois?,Como é que a Bailey se sentiria depois?,Justo depois, A partir de então,e depois são justos.,Orgulhoso depois,orgulha,orgulhoso depois,Lamentável depois,arrependidos depois,Lamento depois.,C
5018,"Tracy sempre quis participar da luta pela liberdade, ela conseguiu participar.","Tracy sempre quis participar da luta de liberdade, ela conseguiu participar.","Tracy sempre quis participar na luta pela liberdade, ela conseguiu participar.",O que Tracy precisa fazer antes disso?,O que é necessário para Tracy antes disso?,O que é que a Tracy precisa de fazer antes disto?,Diga adeus a um ente querido,adeus a um ente querido,Diz adeus a alguém que amas,Treine com os inimigos,treinamento com os inimigos,Treinar com os inimigos .,Junte-se à luta,adequar-se à luta,Junte-se à luta .,C
5019,Addison escovou os dentes e fio dental antes de dormir depois de ver o dentista naquela manhã.,Addison escolhou os dentes e fiou antes de dormir após ver o,Addison escoveu os dentes e usou fio dental antes de dormir depois de ter ido ao dentista naquela manhã.,Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,esquecidos e distraídos,esquecimento e distraimento,"Esquecedora, distraída.",Inspirada a limpar os dentes,inspirada na limpeza de seus dentes,inspirada para lavar os dentes.,sujo e desgrenhado,sujo e descascado,sujo e desordenado,B
5020,Sydney ficou de olho nas ferramentas nas mãos e pensou apenas nelas.,Sydney mantinha o olho nas mãos e pensava apenas naqueles.,Sydney ficava de olho nas ferramentas nas mãos e pensava apenas nelas.,Como se sentiria Sydney depois?,Como senti-lo-ia depois?,Como é que a Sydney se sentiria depois?,útil,< 1/ 10,Útil,agressivo,agressivo,agressivo,religiosos,religiosa,religioso,A
5021,Riley viu macacos no zoológico e eles estavam brincando nos bares.,Riley viu os macacos no zoológico e eles estavam jogando nas barras.,A Riley viu macacos no zoológico a brincarem nos bares.,Como Riley se sentiria depois?,Como se sentiria Riley depois?,Como é que a Riley se sentiria depois?,Cansado,Canina,cansado,felicidade,felicidade,felicidade,entediada,prurido,Aborrecido.,B
5022,Era seu aniversário e Sydney surpreendeu seu marido.,Foi o seu aniversário e Sydney surpreendeu o marido.,Era o aniversário deles e a Sydney surpreendeu o marido.,O que Sydney precisa fazer antes disso?,O que é necessário para Sydney antes disso?,O que é que a Sydney precisa de fazer antes disto?,Ele queria fazê-lo feliz,SHe queria fazer com que ele se tornasse feliz,Ele queria fazê-lo feliz,Planeje a surpresa,planear a surpresa,Planeia a surpresa .,Ela queria que seu marido sorrisse,ela queria que seu marido sorrisse,Ela queria que o marido sorrisse.,B
5023,Lee chamou uma pá de pá e nunca mentiu para as pessoas.,Lee chamou de espaçamento e nunca deitava em cima as pessoas.,Lee chamou a coisa por coisa e nunca mentiu para as pessoas.,Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,sneaky,estiramento,subtil,franqueza,au,- Não .,desonesta,dehonest,desonesta,B
5024,Lee manteve tudo sob controle quando as coisas ficaram ocupadas no trabalho.,Lee manteve tudo o controle quando as coisas se ocupavam no trabalho.,O Lee manteve tudo sob controlo quando as coisas ficaram ocupadas no trabalho.,Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,Como alguém que trabalha no seu trabalho,Como alguém que trabalha no seu trabalho,Como alguém que trabalha no seu trabalho,confiante,Confidente,confiante,Como alguém com um bom temperamento,Como alguém com bom temperamento,Como alguém com bom temperamento,B
5025,Cameron era muito ruim no basquete e seus amigos pediram-lhe para jogar com eles.,Cameron estava muito ruim no basquete e seus amigos pediram para que ele brincasse com eles.,O Cameron era muito mau no basquetebol e os amigos pediram-lhe para jogar com eles.,O que Cameron vai querer fazer a seguir?,O que queremos por Cameron?,O que é que a Cameron vai querer fazer a seguir?,Junte-se a um torneio de basquete,adesão a um campeonato de basquetebol,Participar num torneio de basquetebol,Dê aos seus amigos uma bola de beisebol,dê aos seus amigos um futebol de base,Dar aos amigos um basebol,Praticar cestas de tiro,prática de tiro de cestas,Prática de tiro de cestas,C
5026,"Jesse estava saindo e queria que seus colegas de quarto soubessem, então Jesse escreveu um bilhete no quadro na cozinha.","Jesse estava saindo e queria deixar seus colegas de quartos saberem, então Jesse escreveu uma nota","Jesse ia sair e queria avisar os colegas, por isso, escreveu um bilhete no quadro na cozinha.",O que Jesse vai querer fazer a seguir?,O que Jesse quer fazer em seguida?,O que é que o Jesse vai querer fazer a seguir?,Deixe a cozinha por uma semana,sair de cozinha durante uma semana,Deixe a cozinha por uma semana.,Fique em casa para a noite,ficar em casa à noite,Fique em casa à noite.,Sair para a noite,saia para a noite,Sair para a noite,C
5027,"Lee fez Carson sua esposa, pedir o divórcio no dia seguinte.","Lee fez com que Carson sua esposa, processem a divórcio no dia seguinte.","O Lee fez da Carson a esposa deles, e pediram o divórcio no dia seguinte.",O que Lee vai querer fazer a seguir?,O que queremos Lee?,O que é que o Lee vai querer fazer a seguir?,Leve seus pertences,assumir os seus pertences,Levem-lhe os pertences.,Obter um divórcio,. . . . . . . . . ,Divorciar-se,quer sua esposa,quer que sua esposa,Quero a mulher dele.,A
5028,Nova estava se candidatando à escola de enfermagem e pediu a Lee uma carta de recomendação.,Nova estava aplicando-se à escola de enfermagem e solicitou a Lee uma carta de,A Nova estava a candidatar-se à escola de enfermagem e pediu à Lee uma carta de recomendação.,O que Nova precisava fazer antes disso?,O que o Nova precisou antes disso?,O que é que a Nova precisava de fazer antes disto?,fazer um bom trabalho para Lee para impressioná-los,fazer bons trabalhos para Lee para impressioná-los,Faça um bom trabalho para Lee impressioná-los .,Satisfeito em ser perguntado,satisfeito em ser solicitado,Estou contente por ter sido convidado.,Acabar de ir para a faculdade de medicina,terminar indo para a faculdade de medicina,Acabar de ir para a faculdade de medicina,A
5029,Addison sabia que Quinn havia contribuído para o projeto e o colocou no pedido de marca registrada de Kai.,Addison conhecia Quinn havia contribuído para o projeto e o obteve na aplicação da marca Kai,A Addison sabia que o Quinn tinha contribuído para o projeto e conseguiu que ele participasse do pedido de marca registrada do Kai.,Como Quinn se sentiria?,"Como resultado, como se sentiria Quinn?",Como se sentiria o Quinn?,Gratidão,Agradecimento,Agradecido,desprotegido,< < < < < < < < < ,não protegido,um bom planejador,um bom planejador,Um bom planeador.,A
5030,"Ash deitou-se ao lado de seu cão Jesse como o veterinário disse ""pronto?"".","Ash colocou junto ao cão Jesse como o veterinário disse ""já?"".","Ash deitou-se ao lado do cão dela Jesse quando o veterinário disse ""pronto?"".",O que Ash precisa fazer antes disso?,O que é necessário para Ash antes disso?,O que é que o Ash precisa de fazer antes disto?,Procure um gato em vez disso,procura um gato em vez de,Procura um gato em vez disso.,Diga a Jesse que ele tinha sido um bom cão,conta Jesse ele tinha sido um cão bom,Diz ao Jesse que ele foi um bom cão .,Ignorar o sofrimento de Jesse,ignorar o sofrimento de Jesse,Ignorar o sofrimento do Jesse.,B
5031,Jan descansou a cabeça contra a testa de Kendall enquanto eles estavam na cama.,Jan deitava a cabeça contra a fronte de Kendall enquanto estava na cama,Jan apoiou a cabeça na testa de Kendall enquanto estavam na cama.,Por que Jan fez isso?,Por que o Jan fez isso?,Porque é que o Jan fez isto?,Obter seus óleos no rosto de Kendall,obter seus óleos na face de Kendall,Põe-lhe óleos na cara da Kendall.,mostrar afeição,demonstram afecção,mostrar afeição,ser estranho,ser estranho,ser estranho,B
5032,Remy passou o outro carro rapidamente quando ela estava com pressa para chegar em casa e o carro estava indo muito lento.,"Remy passou o carro rapidamente, com pressa em chegar a casa e o carro estava indo","A Remy passou rapidamente o outro carro, pois estava com pressa de ir para casa e o carro estava a andar muito devagar.",Como Remy se sentiria depois?,Como se sentiria depois de Remy?,Como é que o Remy se sentiria depois?,amigável o outro motorista,au,Amigável com o outro motorista,Incomodado com o outro motorista,irritado com o outro condutor,irritado com o outro motorista,Orgulhoso do outro motorista,orgulha do outro condutor,orgulhoso do outro condutor,B
5033,Jordan voltou para casa do trabalho depois que eles tiveram um dia muito estressante e longo.,A Jordânia retornou para casa após um dia muito estressante e longo.,Jordan voltou para casa do trabalho depois de um dia muito estressante e longo.,O que Jordan vai querer fazer a seguir?,O que a Jordânia deseja fazer a seguir?,O que vai querer fazer a seguir?,ir para uma corrida,ir para um trabalho,Vai correr.,melhor,melhor,melhor,Deite-se e relaxe,deitar e relaxar,Deita-te e relaxa .,C
5034,"Quinn ouviu o discurso do pai de Remy, e os olhos de Quinn estavam cheios de pneus.",Quinn ouvia a fala do pai de Remy e os olhos de Quinn estavam cheio,"Quinn ouviu o discurso do pai do Remy, e os olhos do Quinn estavam cheios de pneus.",Como Quinn se sentiria depois?,Como se sentiria Quinn depois?,Como se sentiria o Quinn depois?,a necessidade de beijar o pai de Remy,necessidade de beijar o pai de Remy,A necessidade de beijar o pai do Remy .,Apaixonado pelo discurso,em amor ao discurso,apaixonado pelo discurso,a necessidade de abraçar no meio do discurso,uma necessidade de abraço no meio do discurso,necessidade de abraçar no meio do discurso,B
5035,Bailey tinha acabado de se mudar para uma nova escola e ainda não tinha amigos.,Bailey acabou se deslocando para uma escola nova e ainda não tinha amigos.,A Bailey tinha acabado de mudar-se para uma nova escola e ainda não tinha amigos.,Como Austin se sentiria depois?,Como se sentiria Austin depois?,Como é que o Austin se sentiria depois?,Gratidão,gratidão,Agradecido,excluídos,Excluído,excluído,Solitário,sí,Solitário,C
5036,Tracy deixou Alex ir primeiro quando eles chegaram ao parque da montanha-russa.,Tracy deixa Alex ir primeiro quando chegaram ao parque de rolos.,A Tracy deixou o Alex ir primeiro quando chegaram ao parque de montanhas-russa.,Como Tracy se sentiria depois?,Como o Tracy se sentiria depois?,Como se sentiria a Tracy depois?,"atencioso, então eles deixaram Alex entrar na fila primeiro","considerar, para que eles saiam Alex entrar na fila primeiro","Considerados, por isso deixaram o Alex entrar na fila primeiro.","paciente, então eles deixaram Alex entrar na fila primeiro",         ,"paciente, por isso deixaram o Alex entrar na fila primeiro.",Dando,adjudicação,dar,A
5037,O Casey usava cuecas masculinas para o festival de drag naquela noite.,Casey usava roupas íntimas para a festa de arrasto naquela noite.,Casey vestiu roupa interior masculina no festival daquela noite.,O que é que o Casey precisa de fazer antes disso?,O que é necessário para o Casey antes disso?,O que é que o Casey precisa de fazer antes disto?,não fazer nada,não faça nada,Não faça nada.,Fique em casa,Ficar em casa,Fica em casa.,encontrar cuecas dos homens,encontrar o descalço do homem,Encontrar roupas íntimas de homem,C
5038,Jesse ficou feliz que ele tinha terminado para o dia.,Jesse estava feliz com o fato de ter terminado o dia.,Jesse ficou feliz por ter terminado para o dia.,O que Jesse precisa fazer a seguir?,O que é necessário para Jesse?,O que é que o Jesse precisa de fazer a seguir?,Terminar mais tarde,terminar mais tarde,Terminamos mais tarde.,Faça uma pausa,au,- Não .,Sair do trabalho,Trabalho em licenças,Deixe o trabalho,B
5039,Brooklyn estava se candidatando à escola de enfermagem e pediu a Lee uma carta de recomendação.,Brooklyn estava aplicando a escola de enfermagem e solicitou a Lee uma carta de recomendação.,O Brooklyn estava a candidatar-se à escola de enfermagem e pediu à Lee uma carta de recomendação.,O que o Brooklyn precisava fazer antes disso?,O que o Brooklyn precisou antes disso?,O que é que o Brooklyn precisava de fazer antes disto?,como ciumento,como vergonha,como ciumento .,como invejoso,como envious,como invejosos,Termine os pré-requisitos de enfermagem,finalizar os pré-requisitos de enfermagem,Ter concluído os pré-requisitos de enfermagem,C
5040,Ash segurou o cabelo e o apoiou enquanto vomitava da gripe.,Ash manteve o cabelo e o apoiou como vomitado da gripe.,Ash segurou o cabelo e apoiou-o enquanto vomitava de gripe.,Como você descreveria Ash?,Como descreveria Ash?,Como descreveria o Ash?,carinhoso,Cuidado,Cuidadoso,Preocupado com seu amigo,preocupado com a amizade,preocupados com o amigo deles.,Preocupado com a gripe,preocupado com a captura da gripe,preocupado em pegar a gripe,A
5041,Carson imediatamente pegou e seguiu com o processo de forma eficaz.,O próprio indivíduo imediatamente a pegou e passou com o processo de forma efetiva.,Carson imediatamente a pegou e seguiu o processo de forma eficaz.,Como você descreveria Carson?,Como descreveria Carson?,Como descreveria o Carson?,muito profissional,Muito profissional,Muito profissional.,determinado,nã,Determinado,Incompetentes,incompetente,incompetente,A
5042,Taylor é psiquiatra em um grande hospital.,Taylor é psiquiatra em um hospital de grande porte.,A Taylor é psiquiatra num grande hospital.,Como Taylor se sentiria depois?,Como senti-lo-ia depois?,Como é que a Taylor se sentiria depois?,Inveja de Taylor,envious of Taylor,Inveja do Taylor.,hostil,hostilidade,hostilidade,Gratificada,gratificado,gratificados,C
5043,Austin dirigiu para casa à noite depois de trabalhar o dia todo.,Austin dirigia para casa à noite depois de trabalhar o dia inteiro.,O Austin voltou para casa à noite depois de trabalhar o dia todo.,Por que Austin fez isso?,Por que o Austin?,Porque é que o Austin fez isto?,Queria ser preguiçoso,quis ser preguiça,Queria ser preguiçoso.,queria ir para casa,quis ir para casa,Queria ir para casa.,Relaxar no sofá,relaxamento no sofá,Relaxa no sofá.,B
5044,"Por ter três empregos, como chef, vendedor e carpinteiro, Carson usava muitos chapéus.","Por ter três empregos, como chef, vendedor e carpinteiro, Carson usava muito chapéu","Tendo três empregos, como cozinheiro, vendedor e carpinteiro, Carson usava muitos chapéus.",O que Carson precisa fazer antes disso?,O que é necessário para Carson diante disso?,O que é que o Carson precisa de fazer antes disto?,Candidate-se a três empregos de chef,Pedido de três postos de trabalho de chef,Candidate-se a três empregos de chef,obter três diferentes trabalhos de carpintaria,obter três diferentes empregos de carpinteiro,Arranjar três empregos diferentes de carpinteiro,Candidate-se a três empregos diferentes,aplicável a três diferentes trabalhos,Candidato a três empregos diferentes,C
5045,"Addison maximizou os lucros totais de Bailey, reduzindo o desperdício e os custos de mão-de-obra.","Addison maximizava o lucro total de Bailey, cortando os resíduos e reduzindo os custos",Addison maximizou os lucros totais da Bailey cortando desperdícios e reduzindo custos de mão-de-obra.,O que vai acontecer com Addison?,O que acontecerá com Addison?,O que vai acontecer com a Addison?,inteligente,smart,inteligente,Torne-se mais rico,tornar- se mais rico,tornar-se mais rico,ser contratado por Bailey,ser contratado por Bailey,ser contratado pela Bailey,C
5046,Jesse leu Jordan uma história porque ele não iria dormir quando estava perto da meia-noite.,Jesse leu uma história de Jordânia porque não iria dormir quando estava próximo da meia-noite.,Jesse leu uma história ao Jordan porque ele não queria dormir quando era perto da meia-noite.,O que Jesse vai querer fazer depois?,O que Jesse quer depois?,O que é que o Jesse vai querer fazer depois?,Saia do quarto da Jordan,sair de quarto de Jordânia,Sai do quarto do Jordan.,Ir para a praia,ir à praia,Vai à praia.,Comprar mais livros,compra de mais livros,comprar mais livros,A
5047,Carson jogou cartas com os amigos em vez de fazer sua lição de casa que perturbou seus pais.,Carson jogou cartas com amigos em vez de fazer sua tarefa doméstica que incomodava seus pais.,"Carson jogava cartas com amigos em vez de fazer os trabalhos de casa, o que chateou seus pais.",O que vai acontecer com Carson?,O que acontecerá com Carson?,O que vai acontecer ao Carson?,Seja gritado em,deve ser,Ser gritado,ficar aterrado,aterramento,- Não .,obter mais subsídio,obter mais subsídios,- Não .,B
5048,Remy ficou muito bom em mentir depois de mentir por toda a vida.,Remiu ficou bem bem deitada depois de deitada por toda a sua vida,"O Remy tornou-se muito bom a mentir, depois de mentir a vida toda.",O que Remy precisa fazer antes disso?,O que é necessário fazer por Remy antes disso?,O que é que o Remy precisa de fazer antes disto?,Não minta,não deitada,Não mintas.,Continue contando inverdades,manter a inverdade,Continuem a dizer mentiras,Mentir muito,Muito,Mentir muito,B
5049,A Taylor fez a sua nova televisão funcionar.,Taylor conseguiu trabalhar a sua nova tv.,A Taylor arranjou a nova televisão.,O que Taylor precisa fazer antes disso?,O que é necessário para Taylor diante disso?,O que é que a Taylor precisa de fazer antes disto?,Obtenha sua TV entregue,receber a sua TV entregue,Leva a televisão dela .,Brag para amigos,brag to friends,Gabar-se com os amigos,Obter seu jantar de TV entregue,receber o jantar de TV,Leva-lhe o jantar da TV .,A
5050,"Robin notou pessoas sem-teto em pé na calçada, então Robin deu-lhes dinheiro.","Robin observou as pessoas em situação de rua em pé na calçada, assim Robin lhes deu","A Robin viu pessoas sem abrigo na calçada, por isso a Robin deu-lhes dinheiro.",Como Robin se sentiria depois?,Como se sentiria Robin depois?,Como é que a Robin se sentiria depois?,Irritado consigo mesmo,ira consigo,zangada consigo mesma.,Envergonhada de si mesma,vergonha de si,Envergonhada de si mesma.,Orgulhosa de si mesma,orgulha de si,orgulhosa de si mesma.,C
5051,Taylor contou aos meus amigos sobre o novo negócio que eu estava planejando começar.,Taylor contou aos meus amigos sobre o novo negócio que eu estava planejando no início.,A Taylor contou aos meus amigos sobre o novo negócio que eu estava a planear começar.,Como Taylor se sentiria depois?,Como senti-lo-ia depois?,Como é que a Taylor se sentiria depois?,Muito chateado consigo mesmo,Muito irritação consigo,muito chateados consigo mesmos.,Como se fossem úteis,como são úteis,Como se fossem úteis.,Como se tivessem feito algo errado,como eles fizeram alguma coisa errada,Como se tivessem feito algo errado.,B
5052,Riley também se veste para o abrigo e doou dinheiro também.,Riley também se veste no abrigo e também doou dinheiro.,A Riley também deu roupas ao abrigo e também doou dinheiro.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Recusar a doação,recusar a doação,recusar a doação,Reconheça sua generosidade,reconhecer sua generosidade,reconhecer a sua generosidade,deduzir a doação de seus impostos,deduzir a doação dos seus impostos,deduzem a doação dos impostos,B
5053,Austin foi ao escritório para atender seu cliente que precisava de ajuda.,Austin foi ao escritório para atender ao cliente que necessitou de ajuda.,O Austin foi ao escritório encontrar-se com o cliente que precisava de ajuda.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Seja rude,ser rude,Seja rude.,ser maldoso,ser,Ser malvado .,obter ajuda,ajuda,- Não .,C
5054,Kendall contratou Skylar para trabalhar para eles como seu assistente pessoal e foi muito satisfeito com o seu trabalho como Skylar cumpriu o pedido de Kendall para qualquer coisa que Kendall precisava.,Kendall contratou o Skylar para trabalhar com seu assistente pessoal e teve muito prazer com o,"Kendall contratou Skylar para trabalhar para eles como sua assistente pessoal e ficou muito satisfeita com seu trabalho, já que Skylar cumpriu o pedido de Kendall para qualquer coisa que Kendall precisasse.",O que Kendall vai fazer com Skylar em seguida?,O que fazer com o Skylar em seguida?,O que é que a Kendall vai fazer com a Skylar a seguir?,dar à Skylar mais empregos para completar,Dar mais trabalhos ao Skylar,Dar a Skylar mais trabalhos para completar.,dar Skylar um corte de pagamento,Dar uma peça de pagamento à Skylar,Dar uma redução de salário à Skylar .,dar Skylar nada para fazer,Não dê nada para o Skylar,Não deixe nada para a Skylar fazer.,A
5055,Tracy incendiou a trilha em sua nova moto pela primeira vez.,Tracy esbotou pela primeira vez a trilha em sua nova bicicleta.,A Tracy desceu pela primeira vez a trilha na sua nova bicicleta.,Como você descreveria Tracy?,Como descreveria Tracy?,Como descreveria a Tracy?,excitado,excitação,excitado,muito corajoso,Muito brava,Muito corajoso.,muito lento,Muito lenta,muito lento,B
5056,Skylar estava na loja com a mãe quando finalmente encontrou o que queria.,Skylar estava na loja com a mãe quando finalmente encontrou o que queria.,A Skylar estava na loja com a mãe deles quando finalmente encontrou o que queria.,O que a Skylar vai querer fazer a seguir?,O que queremos com Skylar?,O que vai a Skylar querer fazer a seguir?,Pense no que eles queriam,pensar sobre o que eles queriam,Pensem no que eles queriam.,comprar o item,compra do item,comprar o item,obter o item,obter o item,- Arranja o item.,B
