,context,question,answerA,answerB,answerC,correct
51,Jesse imediatamente pediu ajuda a outros trabalhadores quando uma máquina caiu no pé deles.,Como se sentiriam os outros trabalhadores?,preocupação com Jesse,Estou feliz pelo Jesse.,como gentil,A
52,A Addison torceu o braço do Casey para sair para beber depois do trabalho.,O que vai acontecer ao Casey?,beber em casa,A desfrutar de sair,Vai comer sobremesa .,B
53,"Ash faltou ao trabalho por estar doente, mas não se deu ao trabalho de ligar para dizer que não estariam lá.",Como descreveria o Ash?,uma pessoa atenciosa,um empregado pobre,arrependidos por incomodarem o chefe,B
54,Os Austin passavam o tempo a ler porque não tinham mais nada para fazer.,O que é que o Austin vai querer fazer a seguir?,Estudo,dormir,comer,B
55,O Remy era desenvolvedor de web numa empresa de consultoria respeitada.,O que é que o Remy precisa de fazer antes disto?,Vai para a faculdade.,Desisti do liceu.,Queria ser bem sucedido.,A
56,O Lee vendeu uma televisão no Craigslist por um bom preço.,O que os Outros vão querer fazer a seguir?,Ganhar dinheiro extra para ver Lady Gaga,ganhar dinheiro para ajudar a família.,Compre a televisão.,C
57,"Depois de lutar com o jogo por vários meses, Taylor venceu.",O que é que a Taylor vai querer fazer a seguir?,Comece o nível de novo.,Tente novamente para vencê-lo.,Começar um novo jogo,C
58,Tracy recusou-se a reciclar e poupar energia para ajudar a proteger a Terra.,Como descreveria a Tracy?,importante para mudar hábitos,envergonhado,culpado,C
59,"O Remy levava o portátil para todo o lado, mas acabou por o esquecer num autocarro.",O que é que o Remy precisa de fazer antes disto?,Leva o portátil no autocarro.,Leva o portátil para a cozinha.,Estudo,A
60,Remy deu mais dinheiro para a instituição de caridade depois que eles receberam seu salário.,O que Remy vai querer fazer a seguir?,Apoiar a caridade,Seja uma pessoa útil,Doar todo o seu dinheiro,A
61,"O encontro era suposto ser o mais difícil, mas o Sasha bateu o recorde facilmente.",O que vai acontecer com o Sasha?,ser concedido,Tente vencer o Sasha .,Perder o troféu dela.,A
62,O Riley poupou muito tempo ao trabalho ao implementar uma nova solução de software.,Como é que a Riley se sentiria depois?,Inteligente,ineficaz,incompetente,A
63,"Quinn pediu emprego numa nova empresa, e esperava que o conseguisse.",O que é que o Quinn precisa de fazer antes disto?,Ligue para a empresa e grite com eles .,"Espera e, entretanto, manda um e-mail a outras empresas.",encontrar o novo emprego que ele queria,C
64,Alex agiu sob a raiva de Ash e quebrou a delicada tigela de porcelana.,Como se sentiria o Alex depois?,calma mas magoada com Ash,Forte e poderoso,Desculpem que quebraram a tigela.,C
65,Alex passa a música por cima algumas vezes com a turma.,O que é que o Alex vai querer fazer a seguir?,Dê-lhes um teste na música,Faça-os praticar uma nova canção.,Que aprendam uma nova canção.,A
66,A Kendall tinha o número da Sasha no telemóvel e nunca o apagou depois de ter um novo.,O que vai acontecer com o Sasha?,ser conhecido,ser famoso,ser refrescado,A
67,Houve um movimento de mulheres para levar a legislação aos tribunais.,O que é que o Aubrey precisa de fazer antes disto?,Quero mudança,Junte-se ao movimento,Entre no exército.,B
68,Taylor foi à igreja e disse ao padre que precisava de perdão pelos pecados.,O que é que a Taylor precisa de fazer antes disto?,Arrepende-te,Encontre um chuech,Seja rude.,B
69,Bailey passou o tempo na casa de Alex todas as chances que eles puderam obter.,O que acontecerá com Alex?,necessário,ficar próximo de Alex,tornar-se familiar,C
70,Bailey passou muito tempo junto com seus amigos na casa de praia no verão.,O que é necessário para Bailey antes disso?,Bebidas,compra de uma casa de praia,ir à praia,C
71,"O Remy era a vaca preferida do Kai, por isso quando ele morreu, o Kai curtiu o couro do Remy.",Porque é que o Kai fez isto?,Pensei que a pele ficaria bem junto à lareira .,usar o couro como um fato de Halloween em Outubro .,"ver se vai gostar bem, como carne seca.",A
72,O Bailey levou o assunto nas mãos e decorou o lugar para a festa.,Como é que a Bailey se sentiria depois?,feliz por fazer o bolo parecer bonito,Estou contente que a festa seja boa.,Estou contente que o ponche seja bom.,B
73,"A Skylar estava a tentar tirar uma folha da cabeça do Jordan, por isso abanaram a cabeça dele.",Como descreveria a Skylar?,- Não.,Desagradável,Abusivo,B
74,O Lee matou a pessoa que estava a magoar o Austin porque amava o Austin com todo o coração.,Porque é que o Lee fez isto?,Cuidou do Austin.,Odiava o Austin.,O Austin queria ser magoado.,A
75,A Alex agiu no melhor interesse do Ash quando disseram ao professor o que aconteceu.,O que é que a Alex precisa de fazer antes disto?,Explique o que aconteceu ao Ash.,fazer,saber o que é melhor para eles,A
76,"A equipa precisava de um nome e perguntaram ao Jesse, já que ele era o capitão.",O que a equipa vai querer fazer a seguir?,Ganham jogos!,Perder jogos!,Faça um cartaz com a foto deles.,A
77,Cameron fez os graus perfeitos e fez a lista de principais por causa dele.,Como se sentiria Cameron depois?,sorte,intelligent,seria mal-concebido,B
78,"Mesmo que Kendall tivesse prometido ajudar, quando chegou a hora, Kendall deixou Jan em paz.",O que vai o Jan querer fazer a seguir?,passar mais tempo com eles,Evite completamente a Kendall.,não confiável,B
79,"O Lee visitou a mãe deles ilegalmente, que era uma fugitiva da lei.",O que vai acontecer ao Lee?,tornaste-te cúmplice,Não se colocarem nesse tipo de perigo.,Informar as mães onde se encontra para a aplicação da lei,A
80,A Ash estava a criar os filhos sozinha e as pessoas pensaram que ela não estava bem.,O que Ash vai querer fazer a seguir?,era amoroso,Continue observando os pais,Faça o seu melhor,C
81,"Como acontece a cada quatro meses, Alex foi ao médico para um exame de rotina e foi informado de que precisava descansar.",O que é que o Alex vai querer fazer a seguir?,Chame o médico,Acaba todos os seus projetos e adiar o resto .,Tirem férias do trabalho.,C
82,A Sydney fez a ligação da Skylar e conseguiu falar com a mãe dela.,Porque é que a Sydney fez isto?,Tirem-nos daqui .,Amado,Leva-os a comer.,A
83,"A Alex levou o Casey nos braços, que era a namorada e parceira dele de longa data, que se reuniu.",Porque é que a Alex fez isto?,Não vi o Casey.,Dá um beijo longo ao Casey.,abraçando o Casey por muito tempo,A
84,Quinn parou o carro por excesso de velocidade.,Como descreveria o Quinn?,negligente,um executor,Despreocupado,B
85,A Tracy estava a começar um trabalho de investigação e pediu emprestado uma tese para usar.,O que é que a Tracy precisa de fazer antes disto?,Vai para a aula.,Vai para o campo de bola.,pedir para usá-lo,C
86,A Robin achou que a Taylor passava demasiado tempo no portátil deles.,O que é que a Taylor vai querer fazer a seguir?,ser capaz de apoderar-se do portátil,Dá o portátil ao Robin .,ficar chateado com a Robin.,C
87,O Austin correu direto para a loja depois de descobrir que o novo jogo tinha sido lançado.,Porque é que o Austin fez isto?,poupar dinheiro,gastar o seu dinheiro,jogar o novo jogo de vídeo,C
88,A Kendall tinha alguns clientes que participaram da conferência.,O que vai acontecer com o Sasha?,ser introduzido,ser dispensado,Ela vai encontrá-los.,A
89,O Quinn saiu do médico com um ar muito triste e deprimido.,O que vai acontecer com o Sasha?,Pergunte-lhe sobre os resultados,grita com ele .,Errado,A
90,Casey fez o almoço rápido quando chegou a casa de trabalho.,O que é necessário para o Casey antes disso?,ir para casa dela,comer durante o trabalho,comer o almoço,A
91,"A Sasha prometeu ao Robert que lhe traria os trabalhos de casa, mas esqueceu-se.",Como descreveria a Sasha?,como descuidados.,tão esperto,A Shasha que prometeu ao Robert,A
92,A Bailey tinha um grande projecto para a aula de História Americana na escola e trabalhou muito duro.,Como é que a Bailey se sentiria depois?,Muito trabalhador e estudioso.,Como se ela tivesse esquecido uma tarefa importante.,Como se ela tivesse feito algo importante.,C
93,Robin conseguiu gerenciar bem a equipe de trabalho e cumpriu todas as tarefas no tempo.,O que é necessário para Robin antes disso?,ser recompensado em seguida,ser responsável,iniciação de uma actividade,B
94,"Depois de pensar em convidar a Becky para sair durante semanas, Austin finalmente conseguiu a coragem e eles tornaram-se um casal no final da semana.",Como é que o Austin se sentiria depois?,Envergonhado e triste.,Alguém que possa superar os seus medos .,Felizes por terem corrido o risco .,C
95,A Sydney deu um conselho ao Ash sobre pescar fora da ponte.,Como se sentiria Ash?,muito zangado,Muito informado,Conhecimento de pesca,C
96,A Robin era uma pro em comer comida chinesa e ensinou-os a usar pauzinhos.,O que os Outros vão querer fazer a seguir?,Aprenda depressa,Como comida chinesa.,cuspir comida,A
97,"O Ash levou o portátil para o consertar, mas a loja não pôde fazer nada.",Como é que o Ash se sentiria depois?,Desculpa.,frustrado depois.,inútil depois.,B
98,"Para surpresa de todos os amigos, quando lhe pediram para falar, Quinn falava japonês fluentemente.",Porque é que o Quinn fez isto?,Parece que ela era japonesa .,Seja um ostentador .,Surpreender os amigos dela .,C
99,Skylar comprou almoço no outro dia para o amigo no restaurante preferido deles.,Como descreveria a Skylar?,Tão simpático.,Amigável,Como conversador,A
100,O Jesse tirou o casaco da Sasha porque estava a ficar muito quente no quarto.,Porque é que o Jesse fez isto?,Fala com o Jesse .,Aborrecido.,- É bom.,C
101,A Quinn deixou cair a folha do livro da Sydney que ela estava a usar como marcador.,O que quer o Quinn fazer a seguir?,Atira a folha fora.,Põe-no de volta no livro.,arranjar uma nova folha,B
102,Lee colocou a mão nos lábios de Skylar porque Lee queria que Skylar parasse de falar imediatamente.,Como o Skylar se sentiria como resultado?,Apoiado por Lee,Insultado por Lee,Alguém que faz o que quiser,B
103,Sasha mandou Taylor para casa depois de se queixarem de estar doente no trabalho.,Como se sentiria Taylor?,Como ir para casa.,doente,Como um mentiroso.,B
104,Tracy visitou a mãe de Cameron no lar de idosos e trouxe alguns lanches para eles.,Porque é que a Tracy fez isto?,comer,Certificar-me que a mãe da Cameron não estava sozinha.,falar,B
105,A Casey levava-o para todo o lado com a Robin porque não queria perdê-lo.,Porque fez o Casey isto?,Ela cuidou dele .,Ela não queria.,Ela queria perdê-lo .,A
106,Cameron chegou em casa e não encontrou ninguém lá dentro.,O que é que a Cameron vai querer fazer a seguir?,Entrem na casa,Roubar da casa.,Roubar a casa .,A
107,Sasha conheceu os clientes da Kendall na conferência e roubou-lhes o negócio.,O que vai acontecer com a Kendall quando isto acontecer?,aumentar o seu pessoal para assumir o novo negócio,Encontrar-se com os clientes para satisfazer as suas necessidades.,Perder clientes,C
108,"O lugar estava muito lotado para sentar, por isso a Tracy encontrou outro lugar para ir.",O que é que a Tracy vai querer fazer a seguir?,Vai trabalhar.,Vai para casa.,Encontrar um lugar para sentar,C
109,Austin seguramente mantinha a fita no local enquanto dad fazia uma medida da sala.,O que queremos por Austin?,o dp de seu pai com a sala,Deixe o pai dele trabalhar sozinho,snap fechado,A
110,Kai notou que todos foram convidados para a festa e quis vir também.,Como se sente o Kai?,Deixado de fora,não desejado,Sinto curiosidade por ir,A
111,A Quinn superou todos os obstáculos na carreira universitária.,Como se sentiria o Quinn depois?,inteligente,muito preguiçoso.,Como um sucesso,C
112,O Lee saiu da prisão por agredir o Kai.,Como é que o Kai se sentiria?,Estou feliz por ele.,- Assustado com ele.,orgulhoso dele.,B
113,"Jesse tinha muitos talentos, mas se recusou a trabalhar qualquer trabalho.",Por que Jesse fez isso?,ensinar outros seus talentos,deslize do sistema,encontrar um emprego que ele gosta,B
114,Addison comprou os bilhetes a um preço alto logo antes do início e acelerou,O que é necessário para Addison?,Pedir a Becky que a mantenha na linha,receber bilhetes gratuitos para o programa na semana seguinte,chegue rapidamente aos bilhetes antes de vender,C
115,Cameron conheceu o marido da Kendall que tinha todas as qualidades que Cameron procurava num homem.,Como se sentiria a Cameron depois?,Estou feliz pela Kendall .,saudade,zangado com a Kendall.,B
116,"A Tracy era sempre do tipo que gostava de festas, estava entusiasmada por ser o seu aniversário e convidava pessoas para a sua casa.",Porque é que a Tracy fez isto?,Adorei a cena da festa.,socializar,Não era a rapariga da festa.,B
117,Bailey utilizou suas mãos para comunicar aos indivíduos sobre seus resultados no teste.,Como descreveria Bailey?,sentir- se amado,excitado com relação ao grau de aprovação,sensação de entorse,B
118,Lee foi para a faculdade nos últimos 6 meses sem poder tirar férias. Lee finalmente teve um fim de semana de folga da escola e do trabalho.,Porque é que o Lee fez isto?,Leva-a a jantar.,Ajudá-la em casa com reparos de casa,Veja a família.,C
119,"O Carson não estava em casa e a Tracy estava aborrecida, por isso a Tracy juntou o quebra-cabeça do Carson.",Como se sentiria a Tracy depois?,Orgulhoso.,Assustado.,Chocado .,A
120,"Devido ao seu amor pelo animal, Ash impediu que seu cão se deslocasse.",Como descreveria Ash?,ama evitar a circulação de cães,triste,manter o seu animal de estimação,C
121,Cameron inclinou a cabeça de vergonha depois de perder o jogo por muito.,O que é que a Cameron vai querer fazer a seguir?,Aborrecido.,Perder o jogo.,orgulhoso,C
122,Austin ajudou outro companheiro de equipe porque o cara precisava da ajuda.,Como os outros se sentiriam como resultado?,Maravilhoso,invejoso,Negligenciado,B
123,A Ryley não sabia que os cortes tinham sido um isco.,Como descreveria a Riley?,Feliz.,Como uma pessoa triste.,Chocado .,C
124,A Sydney foi acampar com um bom amigo deles e divertiu-se.,O que é que a Sydney vai querer fazer a seguir?,reparar uma janela,dormir numa tenda,comprar um telemóvel,B
125,"A mãe de Tracy Cameron estava no hospital, então um dia ela visitou.",Como Tracy se sentiria depois?,atencioso,Sentiu-se triste ao vê-la em mau estado,Sentiu-se feliz por ter sido hospitalizada,B
126,Austin ajudou outra família quando precisava.,O que é necessário para Austin antes disso?,check up na família,chegue perto da família,elaborar um plano,A
127,Quinn falava fluentemente e comunicava-se em nome dos que não falavam.,Como descreveria Quinn?,feliz,realizado,Ajudar mais à frente,B
128,"Quando o Remy disse à Sasha que se iam mudar para outro país, a Sasha sentiu que o Remy tinha virado a vida dela de cabeça para baixo.",O que vai acontecer ao Remy?,Não gosto da atitude da Sasha.,Menina Remy.,Tente fazer o Sasha entusiasmar-se com a mudança.,C
129,O rosto do Aubrey ficou vermelho depois de se sufocarem com um pedaço de frango.,O que é que o Aubrey vai querer fazer a seguir?,Diz ao empregado que traga a conta .,Façam a manobra sozinhos.,"Faz o ""hockey-pokey"" e vira-te.",B
130,Addison chamou o banco no dia seguinte para descobrir o que aconteceu com o depósito.,O que queremos com Addison?,ir ao banco pessoalmente,reclamação ao banco,obter o dinheiro,C
131,O Lee deixou o carro da Taylor na oficina durante a noite para ser reparado.,O que é que o Lee vai querer fazer a seguir?,Faz um favor à Taylor.,Vou buscar o carro de manhã .,Devolve o carro ao Taylor .,B
132,"O Riley trabalhou muito para fazer um bolo para a festa do trabalho, ele sabe que toda a gente gosta de bolo no escritório.",Como se sentiriam os Outros?,Os outros vão ficar entediados com a ideia.,atencioso,feliz,C
133,O aniversário do Aubrey estava a aproximar-se e a Cameron decidiu surpreendê-los.,O que é que o Aubrey vai querer fazer a seguir?,Abraço Cameron,cuspir no Cameron,Planeia uma festa.,C
134,Ash agradeceu profusamente o pai de Aubrey por toda a ajuda e orientação que,Como descreveria Ash?,pouco apreciativo,apreciação,Agradecimentos por toda a ajuda e orientação do pai de Aubrey,B
135,As pessoas convidaram Kai porque ele seria divertido em uma festa devido à sua energia.,Como os outros se sentiriam como resultado?,que eles se divertiram,Arrependendo-se de convidar Kai,que eles estavam entediados,A
136,Jordan começou uma banda com os amigos e divertiu-se a fazer músicas.,Como descreveria o Jordan?,sentir-se preguiçoso,Como se o tempo fosse bem gasto.,sentir orgulho,C
137,O Bailey voltou por segundos no jantar porque a comida era boa.,O que é que a Bailey precisa de fazer antes disto?,de comer alguma coisa,de pedidos de alguns,falar sobre comida,A
138,"Todas as sextas-feiras, o Marcus Theatres® oferece ingressos especiais para pessoas com 60 anos ou mais. Venha e aproveite um filme em qualquer Marcus Theatres® com o nosso especial Young at Heart®  apenas $6.00 para qualquer show que comece antes das 17h30.",O que é que a Addison precisa de fazer antes disto?,Os membros da AMC Stubs também podem obter estates baratos com um Cameo Combo de US$ 5 (bebida de fonte e pipoca de tamanho Cameo),"em qualquer AMC ou AMC CLASSIC® cinemas, ou um $10 Flatbread em participantes AMC DINE-INTM cinemas. ... O $5 terça-feira desconto se aplica a shows apenas às terças-feiras.","Nenhuma criança de 6 anos ou menos é permitida num filme classificado como ""R""",A
139,"Jesse esperava mesmo escrever livros, mas ainda não tinha conseguido, por isso Jesse publicou artigos em revistas.",Como descreveria o Jesse?,qualificado,Orientação para objectivos,Pessoa preguiçosa.,B
140,Tracy incluiu outra dica para que ele soubesse o que comprar.,O que Tracy vai querer fazer a seguir?,Mencione a primeira dica,Ignorá-lo,Mostre-lhe o que comprar,A
141,Aubrey pegou algum dinheiro de seus pais e comprou um almoço com ele.,Como você descreveria Aubrey?,E-mail,egoísta,honesto,B
142,O Quin chamou a atenção do Lee.,Porque é que o Quinn fez isto?,Fala com o Lee.,Ajudar a distrair o Lee.,Leva o Lee a trabalhar .,C
143,O Robin determinou que a sorte deles era dar o melhor de si.,Porque é que a Robin fez isto?,orgulhoso,Decidir como fazê-lo,Sorte .,B
144,"Robin deu doces às crianças, mas não foi do tipo bom.",O que as crianças vão querer fazer a seguir?,Bater Robin,Ir para outra casa,convencer as crianças a aceitar o doce,B
145,"O Carson sempre foi conhecido por ser mentiroso, nunca diz a verdade.",O que os Outros vão querer fazer a seguir?,Tenha esperança para a mudança do Carson.,Ignora o Carson .,dizer mentiras,B
146,Kai pintou a cidade de vermelho naquele dia e divertiu-se muito.,O que é que o Kai precisa de fazer antes disto?,Pergunte sobre diversão,Diverte-te,Vivo na cidade,C
147,O Quinn podia saltar muito alto e facilmente apanhava um slam dunk.,Como se sentiriam os Outros?,como realizado,irritado com o Quinn.,Entretenido por Quinn,C
148,"A Addison tinha um segredo para guardar, mas contou ao meu amigo.",Como descreveria a Addison?,- É bom.,simpático,irritante,C
149,A Alex colocou o peixe que acabaram de apanhar na boca da Jan.,Como se sentiria Jan?,Como comer sushi.,Como dar um murro na Alex.,Feliz com o Alex.,B
150,Casey mastigou a cuba porque achavam ser uma vaca.,Como se sentiria Casey depois?,como a actuação semelhante a um ser humano,como beber de um vale,um comedouro de carne,C
151,"Carson não era bom a expressar-se, por isso encontrou um livro para descrever melhor os seus sentimentos.",Como descreveria o Carson?,como esperançoso,como deprimido,mais calmo.,A
152,O Lee voou para a Robin por causa das grandes notícias sobre o circo que vem à cidade.,Como se sentiria Robin?,extático,Querendo contar,Aborrecido.,A
153,Alex é dono de uma loja e observa cuidadosamente a contribuição de cada pessoa.,Porque é que a Alex fez isto?,contribuir para a comunidade local,Fecha a loja em breve.,Recompensar mais para os mais merecedores,C
154,Cameron estava trabalhando para uma campanha e tentando eleger um candidato.,Por que Cameron fez isso?,Pesquisar o candidato,Queria parar os adversários,Queria ser honesto,B
155,Casey era um chef que preparava uma refeição para os clientes.,O que é que o Casey precisa de fazer antes disso?,Seja na TV,Seja um especialista,Faça bem o seu trabalho,B
156,A Riley poupou todo o dólar na esperança de poupar para um adiantamento para comprar uma casa.,Porque é que a Riley fez isto?,Fizeste isto para que ela tivesse um adiantamento,Fiz isto para comprar um carro novo.,Fiz isto para pagar os cartões de crédito.,A
157,O Cameron não estava a olhar e quase colocou a mão no fogão quando a Kendall puxou a mão do Cameron para trás.,O que vai acontecer com a Cameron?,Não te queimes.,Diz à Cameron para não fazer isso.,gritar com Cameron .,A
